start_time	end_time	transcript
0.00	2.00	なんて言ってたんだよ
2.00	4.24	それで今君は
7.30	10.60	私と両方にも
10.60	13.16	烧 macharan
13.16	16.56	アーツ r
16.56	21.86	向かう
21.86	23.24	もっちゃられる
23.24	25.00	ー
25.00	27.64	鳥
27.64	28.40	部
28.40	31.32	しょうもんじゃああああ
36.32	39.24	私
49.34	51.10	me
58.40	63.00	同じ元olia
63.90	67.08	ラ亲
67.18	70.08	 playable
70.44	72.16	の
72.30	78.36	高等治
82.36	84.10	んだ
84.10	88.10	5番目にしている 朝日の中で
88.10	90.10	この子供が元気選手は
90.10	93.10	再開2年間を狙ってなってきている
93.10	95.10	スライスの負け合わせは
95.10	98.10	5年の冒頭かどきに落として
100.10	102.10	順決勝は大きい選手の
102.10	106.10	高口が日本でやぶって勝ち合わせる
115.10	118.10	1年間に関しては
118.10	121.10	6日の記録のテッションを
121.10	123.10	高等のお久しぶりに
123.10	124.10	元気選手の1日の
124.10	125.10	10度の動議が高等に
125.10	127.10	10度の動議が高選手を
127.10	129.10	見ては高等選手が
129.10	130.10	左に高選手が
130.10	131.10	リーグミの展開を
139.10	141.10	1月15日の中で
142.10	143.10	1年間に関しては
143.10	144.10	これも不自由なことで
144.10	145.10	その先に
145.10	146.10	1年間に関しては
146.10	147.10	1年間でやるしが
147.10	148.10	ない
148.10	150.10	1年間でやる
150.10	152.10	1年間でやる
152.10	153.10	1年間でやる
153.10	154.10	1年間でやる
154.10	155.10	1年間でやる
155.10	156.10	1年間でやる
156.10	157.10	1年間でやる
157.10	158.10	1年間でやる
158.10	159.10	高等選手が
159.10	160.10	従来をやって
160.10	161.10	2日間に
161.10	162.10	丸と砂所に
162.10	163.10	お互いに
163.10	164.10	お互いに
164.10	165.10	1年間でやる
168.10	169.10	高等選手最初
169.10	170.10	前以上ちゃんと
170.10	171.10	使うのに
171.10	172.10	行ったので
172.10	173.10	作戦を変えてくるのを
173.10	174.10	かなったので
174.10	175.10	そとから
175.10	177.10	日常を持つかたち
177.10	178.10	いつもどういるの
178.10	179.10	先に役をするの
179.10	180.10	お互いに
180.10	181.10	知らないです
188.10	189.10	あとは
189.10	190.10	ついて
190.10	191.10	リーオンを持ちましたが
191.10	192.10	使ったところで
192.10	194.10	この座植は
194.10	195.10	裏に買いました
195.10	196.10	お互いが
196.10	197.10	手法に
197.10	200.10	裏に
200.10	202.10	固まっていけない
202.10	203.10	裏に
203.10	204.10	裏に
204.10	205.10	高等選手は
205.10	206.10	なかなか
206.10	207.10	ちょっと攻め切るから
207.10	208.10	必要は
208.10	209.10	手法に
209.10	210.10	尽きているの
210.10	211.10	しかし
211.10	212.10	今では
212.10	213.10	主心を見ながら
213.10	214.10	裏に
214.10	215.10	使用しぼり
215.10	216.10	今では
216.10	217.10	活動を
217.10	218.10	数々から攻めると
218.10	219.10	何といけないですか
219.10	220.10	攻撃の
220.10	221.10	準備動作でない場合は
221.10	222.10	イプーティックな
222.10	223.10	持ち方は
223.10	224.10	指導を
225.10	226.10	攻撃を
226.10	227.10	決める
227.10	228.10	裏から
228.10	229.10	さっき
229.10	230.10	高等選手が
230.10	231.10	大きな方が
231.10	232.10	当たって
232.10	233.10	そこに
233.10	234.10	風邪を出して
234.10	236.10	2分34秒
236.10	237.10	2分
237.10	238.10	バック
238.10	239.10	はい
244.10	246.10	こっちがリュース
248.10	249.10	こっちがリュース
249.10	250.10	やりなこっちがリュース
250.10	251.10	だから
251.10	252.10	戦いが
252.10	254.10	1位
254.10	255.10	高等選手は
255.10	256.10	いいです
256.10	257.10	高等選手は
257.10	258.10	必要さ
258.10	259.10	1位
259.10	260.10	高等選手が
260.10	261.10	高等選手が
261.10	263.10	スタール形に
263.10	265.10	負けた
265.10	267.10	高等選手は
267.10	268.10	高等選手は
268.10	269.10	高等選手は
269.10	270.10	高等選手は
270.10	271.10	出しばらく
271.10	272.10	1分
277.10	278.10	高等選手の
278.10	279.10	右で
279.10	280.10	足は来いが
281.10	282.10	高等選手は
282.10	283.10	足を使って
283.10	284.10	相手は
284.10	285.10	決める
285.10	286.10	動作
286.10	287.10	相手の
287.10	288.10	足を
288.10	289.10	蹴るようにした
289.10	290.10	6位の動作から
290.10	291.10	足を
291.10	292.10	目指したことが
292.10	293.10	あるだよに
293.10	294.10	見えましたが
294.10	295.10	後ろに
295.10	296.10	ここしかないと
296.10	297.10	ここで
297.10	298.10	決めてくれましたね
298.10	299.10	高等選手の
299.10	300.10	術を
300.10	301.10	海域で
301.10	302.10	エルジーを
302.10	303.10	エルジーで
303.10	304.10	近づいて
304.10	305.10	3回し
305.10	306.10	また
306.10	307.10	一回
307.10	308.10	予定だった
309.10	310.10	キルアウニー
310.10	311.10	キルアウニー
320.10	321.10	悪しい
321.10	322.10	本日の
322.10	323.10	最初の決勝さんが
323.10	324.10	終わりました
324.10	325.10	高等選手が
325.10	326.10	手が
326.10	327.10	手は来い
327.10	328.10	本で高等選手を
328.10	329.10	やった
329.10	330.10	1番でした
332.10	333.10	高等選手は
333.10	334.10	大平から
334.10	335.10	高等選手は
335.10	336.10	高等選手は
336.10	337.10	高等選手は
337.10	338.10	相手をよく
338.10	339.10	見てたと思うんですけど
339.10	340.10	前は
340.10	341.10	警戒する
341.10	342.10	ばかりに
342.10	343.10	セイイントリスポシー
343.10	344.10	引っかかったのかなと
344.10	345.10	言う風に
345.10	346.10	高等選手の
346.10	347.10	技が
347.10	348.10	非常に綺麗だったなというのが
348.10	349.10	本当に
349.10	350.10	綺麗でしたね
350.10	351.10	もちろん
351.10	352.10	もちろん
352.10	353.10	高等選手が
353.10	354.10	欲しいことが
354.10	355.10	前は
355.10	356.10	聞いてた
356.10	357.10	高等選手の
357.10	358.10	ちょっと前に引き出した
358.10	359.10	テイントですね
359.10	360.10	上手に
360.10	361.10	キルアウニー
361.10	362.10	ご視聴を
362.10	364.10	ご視聴を
364.10	365.10	ご視聴を
365.10	366.10	ご視聴を
367.10	368.10	彼女は
368.10	370.10	ご覧請つつ
370.10	372.10	ご視聴ありがとうございました
372.10	376.10	ご視聴ありがとうございました
377.10	378.10	彼女は
378.10	380.10	高等選手の
380.10	382.10	技で
382.10	384.10	フラットの
384.10	386.10	技で
386.10	387.10	平和の
387.10	388.10	技で
388.10	389.10	平和の
389.10	391.10	技で
391.10	392.10	平和の
392.10	393.10	技で
393.10	395.10	平和の
395.10	402.10	JR東日本E233系電車
425.10	432.10	JR東日本E233系電車
455.10	462.10	JR東日本E233系電車
485.10	492.10	JR東日本E233系電車
515.10	522.10	JR東日本E233系電車
545.10	552.10	JR東日本E233系電車
575.10	582.10	JR東日本E233系電車
606.10	612.10	JR東日本E233系電車
615.10	619.10	JR東日本E233系電車
619.10	626.10	JR東日本E233系電車
635.10	639.02	アリア
