start_time	end_time	transcript
0.44	23.16	て You
23.16	30.16	JR東日本E233系電車
53.16	63.56	1989の決勝戦は同盟大結 共にパーク24属の
63.56	67.56	マシアマコース決選手と 始ま校選手の一番となりました
67.56	72.84	マシアマコース決選手 マシアマ選手は1回選手の長い
72.84	80.24	大選手の人決勝で 応用で留場選手と共に シードを参加しに取けての決勝を進している
80.24	83.44	2弁波を
84.14	88.44	始ま選手は1回選手の 裏を参加する選手のうちがり技あり
88.44	96.24	人決勝は長そうは決勝を 正義ながいっぱいにしためて決勝に勝ち上がっていました
96.24	100.24	初馬選手は各部選手を決定して 決勝まで合わせたというか
100.24	109.24	決勝戦は同盟大結勝戦は 始まりました
109.24	121.24	マシアマ選手は1回目のせいながい 初馬選手の人がエリーを持ってきたところそのまま取れました
121.24	143.24	決勝戦は同盟大結勝戦は 初馬選手の人がエリーを持ってきたり 初馬選手が見えます
181.24	186.24	この技を決定を作るために サルウが多いかもあります
186.24	192.24	決勝は同盟大結勝戦は 決勝をし合っています
192.24	194.24	あって
194.24	198.24	共にこのかな力だなかなか想像が出ている
198.24	200.24	スドー
200.24	201.24	スドー
201.24	203.24	決勝戦は シードをする
204.24	209.24	しっかりクリアってしまう方が変えて 交互が止まるというか
209.24	210.24	止まるというか
210.24	213.24	確かに勝ちを見てが流動的な方が 発行地を押しやすい
213.24	215.24	勝利は座が得意な量者
216.24	219.24	晴らなくては豪華しない
232.24	235.30	御座を観るように
235.30	236.74	やっぱり月曜日を about
236.76	238.06	ve
242.70	245.86	ont
248.60	250.16	t
252.36	255.12	バージョン
260.50	262.46	car
265.30	272.30	先週は上からついての日常を探す 先週の方がいます
272.30	282.30	次点の有利率が細かく変わる中で 先週で足ばれいかれるとしまった先週はまっすぐ行きます
355.30	359.30	シェマさん、左がタイオトシの形を見せる 立ち上がって
359.30	364.30	日常をこじ上げながらやりこそと わりも立ちませんしができました
364.30	367.30	だからLZに開いての方法
369.30	373.30	ここで本線4分間が終了はあっという までした
373.30	377.30	主導1日を成った形で試合はゴールデンスコアのエンツの セントになります
378.30	380.30	スワイになりました
380.30	385.30	P100メルドス月のもの正言が高く言ってます
385.30	388.80	彼方で同時にとっています
388.80	391.80	ご視聴ありがとうございました
399.30	401.30	師肺サマ前
401.30	405.30	今までに進みました
405.30	407.30	スドー
407.30	408.30	スドー
408.30	409.30	スドー
409.30	410.30	スキドウに
410.30	411.30	ショットテキシェイスで
411.30	412.30	ボールデンカーを
412.30	413.30	2、3秒に
421.30	423.30	あ、手を見ながら
426.30	427.30	スドー
431.30	433.30	スドー
443.30	444.30	マシアマサイン
444.30	445.30	レアリア島の
445.30	446.30	放置を
446.30	448.30	1から見えないようになります
448.30	450.30	ちょっとボイのテンポを
450.30	451.30	これで致しました
453.30	454.30	ショットを見て
454.30	455.30	ちょっと笑顔を集めて
455.30	456.30	ちょっと笑顔を集めて
456.30	458.30	ちょっと笑顔を集め
458.30	460.30	スドー
460.30	461.30	マシアマサイン
461.30	462.30	回転して
462.30	464.30	やりこそどかけから
464.30	465.30	マシアマサイン
465.30	467.30	マシアマサイン
470.30	471.30	冷え
480.30	481.30	手がトークだから
481.30	482.30	スターンフィックを
482.30	483.30	打ちよう
483.30	484.30	打ちよう
485.30	486.30	そこでもう近づいて
486.30	487.30	から
491.30	493.30	もうマシアマサイン
493.30	495.30	もう一度
495.30	496.30	もう一度
496.30	497.30	この辺です
498.30	499.30	この辺り
499.30	500.30	ちょっとこの初ま千針が
500.30	501.30	1またから
501.30	502.30	こっちが
509.30	510.30	待って
510.30	511.30	スリコミは
511.30	512.30	中立ちの
512.30	513.30	2度見せました
513.30	514.30	マシアマサイン
514.30	515.30	初ま千針は
515.30	516.30	不顔を出して
516.30	517.30	飲みにきません
535.30	536.30	初ま千針の
536.30	537.30	夢から出血が
537.30	538.30	り
538.30	539.30	一支が
539.30	540.30	1時止まっています
543.30	544.30	2
544.30	545.30	2
545.30	546.30	3
546.30	547.30	2
547.30	548.30	3
548.30	549.30	2
549.30	550.30	3
