start_time	end_time	transcript
30.00	32.00	返しがアナウンスされました
32.00	33.40	決勝のカードは
33.40	35.00	テラダウタナ選手と
35.00	36.20	田中市保選手
36.20	38.40	ともにJR東日本人属の
38.40	39.90	どうもん会計するなりました
45.40	47.60	白の銃動議で現れます
47.60	49.00	テラダ選手は
49.00	50.00	本日は
50.00	50.60	1回選で
50.60	52.00	最後の次報選手を
52.00	53.60	1本強いなげはざあり
53.60	54.80	準決勝は
54.80	56.20	うのゆっくこ選手を
56.20	57.40	指導さんの反側で
57.40	58.80	くだしての決勝
59.80	61.80	1本田中選手
61.80	62.80	12月4日に
62.80	63.80	報告を含んで
63.80	64.80	優勝したばかり
64.80	65.80	1回選は
65.80	66.80	ただ順な選手を
66.80	68.80	うれしい腕型の1本
68.80	69.80	準決勝勝ぶところは
69.80	72.80	ブダベスト世界選手選手
72.80	74.80	代表の王の要後選手を
74.80	75.80	反側に
75.80	76.80	指導さんの反側で
76.80	77.80	くだして
77.80	79.80	この決勝まで勝ち上がってきました
88.80	89.80	7日の選手を
89.80	91.80	1本強いなげは
91.80	92.80	2本強いなげは
92.80	93.80	2本強いなげは
93.80	95.80	3本強いなげは
95.80	97.80	1本強いなげは
97.80	99.80	2本強いなげは
99.80	101.80	2本強いなげは
101.80	102.80	高後代でも
102.80	103.80	対戦してる2人ですね
103.80	104.80	その際は
104.80	105.80	10日選手が
105.80	107.80	勝利をおさめています
107.80	117.80	はぁ
117.80	121.36	はい 非常に早い段階で
121.36	125.60	自信が視野を止めて取り組まないというとかで指導
125.60	131.20	想像にくさびを打ちましたね 開始17秒でした
131.20	136.28	今おっしゃる通り
136.28	139.98	二人とも合理が強くそしてちょっとどうもんだという
139.98	143.08	意識にあったのかもしれません お互い狭間やされる
143.08	146.60	強烈なメッセンスがありました
146.60	156.60	ともに左組みの合容数
156.60	171.60	たらたんしが引いての袖を抑えて前に出ます これを話したくない
171.60	176.34	田中選手もしぼり返して両側という形になりまして
176.34	181.60	少女にたずに田中選手がずれながらしよう 進めています
181.60	184.60	田中選手のしぼりも強烈ですね
184.60	189.76	とりかードの方へ二人またわざうきだときも 強いんですよね
189.76	194.32	何を落としどこにしていくか 本当に想像がちょっと使わないですね
194.32	198.12	タイフは違うんですけど言葉にするとどちらも体感が強くて
198.12	202.12	しぼりが強くていくのが不上手と特徴が似ていますよね
202.12	205.12	そうですね
219.84	222.32	田中選手は
222.32	225.12	ここにでも持ってた
226.12	229.12	おもしろいですね
229.12	232.12	いがいでした
236.12	239.12	今の攻撃に技術攻撃ですね
239.12	241.12	おもしろい攻撃と私たちを証明したんですね
241.12	242.12	そうですね
242.12	247.12	水から手に当たって展開を切ったという 反対に反対に当たってしまいました
247.12	251.62	いがいにも田中選手にしぼり2つが 知恵しか2分を切る前に
251.62	255.62	積み重なったときと見える
255.62	258.62	田中選手直接
258.62	261.62	なかなかトラド選手相手にはやらせて 貰えるんですが
261.62	265.62	大手の大打ちがりとか直接 体感を伝えようなわざが勝つと言われてでした
265.62	270.62	この指導にでそっちの方向に 取り合わが働くと面白いなと思うのですが
270.62	275.62	左の育つり込み越しでいったん 展開を切ります
276.62	279.62	肩入りの左背を入れながら
279.62	284.62	閉じもりやっていけないという 反対に
284.62	285.62	そうです
285.62	292.62	中選手の目を見ろい1つ 手立たせにしぼり当てられました
292.62	295.62	横上の参考エリオを持っていって 攻撃なんちゃうから
295.62	299.62	やっぱりこちらちは叶えていなかったら 次の技術入れます
299.62	305.62	まま良いところを求め続けて 両方に秀が来たら終わってしまいます
305.62	310.62	横上の横上がりをカラグリ それともとなったら攻めに出ています
310.62	316.62	背上の横上がり 耐えた田中選手が足元を 攻撃がりの形で
316.62	320.62	切り崩して立ち直します
320.62	325.62	横上の相手とリセットの降り時間が 50秒を切りました
326.62	330.62	相手を連れするのはいいんですけど 使い方が間違いすぎると
330.62	334.62	必ず切りに入れられたら 帰ってチャンスを中選手をしまう
334.62	336.62	なるほど
344.62	348.62	厳しくすると相手も厳しくすると 少しね
349.62	355.62	おくましましたとなか選手と 切り上がりを閉じます
355.62	358.62	迷いがありません
358.62	362.62	戦士手で入り 固えりで合わり出しますが
362.62	367.62	掛けようというところ 手らだ選手の方が先に大阪道としておかけました
369.62	371.62	手らだ選手も厳しいですね
371.62	374.62	そうですね 音は早く始めると
374.62	376.62	やっぱり朝にも医力がある2人なので
376.62	378.62	これにまたお寄せですね
378.62	381.62	指導にずつを背負った形になっています
385.62	387.62	ここで本戦4分間が終了
387.62	389.62	共に指導にお背負って
389.62	392.62	あと一つの指導も失えないという状態で
392.62	394.62	ゴールデンスクアの演場セントになります
405.62	407.62	中中地球ができませんね
407.62	408.62	そうです
408.62	410.62	持っておかけましたが
428.62	432.62	今当たってダストしたら両方しかないまでしたくな
432.62	435.62	あるいは両者反側まけてはちょっと緊張しましたが
435.62	437.62	先進ものは暑かったでしょうか
437.62	439.62	そうですね 暑いの暑いの暑いの暑いの
439.62	441.62	先輩に居るんじゃないでしょうか
446.62	449.62	また先進に組み手の流れから大阪道がありを見せました
449.62	453.62	左一本製の中選手が逆側に体を運んで
453.62	454.62	伸ばれました
463.62	465.62	さっきの後方が続きます
465.62	468.62	このリスコーのあすごい大変なんですけど
468.62	471.62	さっきも両側でも製の投げだとか
471.62	474.62	ポイントポイントを作ってもないかいになってくるんです
493.62	495.62	すぐに出てくるよ
495.62	498.62	触ったんですが持つところまではいかがします
505.62	507.62	はい 中々難しいんですけど
507.62	511.62	ひとは50点以上であれば
511.62	512.62	頑張らしたいの
512.62	513.62	なるほど
513.62	514.62	勇気を持ってついて
514.62	516.62	勇気を持ってついて
516.62	517.62	取り組むっていうのが
517.62	518.62	そうですよね
518.62	519.62	対応としてはから売りしましょう
