start_time	end_time	transcript
0.00	22.24	2
22.26	27.04	名車
60.00	67.00	戦闘カードは長崎高野選手と不自由アルソートロー選手、第一シード選手と第二シード選手の戦いとなりました。
67.00	73.00	シロと5人フィックちゃんと、長崎選手に不自由アルソートロー選手をお待ちください。
73.00	78.00	長崎選手、この日の勝ちやらは、近代者は、他のお世代者が行ったのに、
78.00	80.00	無事をお待ちください。
80.00	83.00	新選手は、朝田選手のボールでお伝えします。
83.00	86.00	大手の勝ちは、技合で下して勝ちやらない。
86.00	91.00	新選手は、大きい選手は、手を引かる選手をうでしい十字型の一方。
91.00	95.00	10選手、勝負所は、先端選手を、隅を閉じ合わせて、
95.00	99.00	今までやすいませんでした。
99.00	102.00	ちょっと、マジナッチ!
102.00	104.00	マジナッチ!
106.00	110.00	長崎選手が、一晴六選手もやり組みを見ることができます。
110.00	134.12	朝回週は、 guards蹴てまでとMC体を決める境
134.12	141.12	100
164.12	166.50	A40Tの中で want to help us
166.50	170.28	長選手の不11 Smithを前から少し温めます
170.28	173.46	前から2回織がしてます
173.46	175.74	士は対して的にオイクを用意することで
175.74	177.72	ルールいくほど
180.84	185.88	心でとる
194.42	196.82	僕です。
196.92	200.00	 Strawberry気軀 is
200.62	206.12	918
206.22	209.68	相性もス噓してチュマルじゃない
215.82	221.56	この黒の
221.96	223.28	准 99
223.28	227.24	知otsでした
231.56	231.70	 wolf
231.86	235.36	西 am
235.70	237.04	その
237.54	240.50	蓋を a
240.50	242.72	uk
243.14	246.48	ですかhuman
246.48	250.82	市
250.82	253.82	1ついて前で出てくるようになります
255.82	259.82	今は選手は背中を横で
260.82	262.82	ちょっと前を直すんです
263.82	266.82	その前のまだ前にあります
268.82	271.82	今は選手は4つかどうにつまってしまっています
272.82	277.82	お腹選手の攻略はカンダードの太鼓をどうめていくか
277.82	280.82	空間がある状態は私の有利なのです
281.82	285.82	前回の後でお互いの間に出ている空間が広く
286.82	288.82	よーしゃにしろ
289.82	290.82	はじめ
307.82	310.82	この前回の後でお互いの間に出てくるようになります
311.82	316.82	この後はフジュラーの選手は
