start_time	end_time	transcript
0.00	9.60	今ゆっくりとゲートに向かっておさまります さあゲートより完了
9.60	14.88	スタートしました まずはそろって選抗争いは14番少難まねれ
14.88	23.60	あいかどうかしかし打ちから4番キャットファイト されにま8番コラソン bと左右千葉に番クインズボーク広がってその後ろに
23.60	31.72	並んでいきます 3番イフェイオンです されにま8を通っては並んでいく5万しかゴスティングそして十万
31.72	37.16	セキトバイイストは中断でされには9番のはスコリピチェイのその後ろに相当って18番
37.16	43.20	チェリビニアがあって行って12番ステレンボシされには並んでいく16万セシリオプラージュ
43.20	48.16	そして12番ステレンボシの内側に一番ワイドラトールされには13番ていうメッサそして
48.16	55.60	外を通って並んで3 4個の中間17番マスクオルウィンです されにま6万ハワイアンってやれその
55.60	65.28	候補に7番スイープフィートは候補3個の明る4個な8百を切って 最高法21万ライトバックさ4個のアカーブに向かっていきます
65.28	72.80	ロッテクを切ります先頭14番少難まねれ テースを逃げて自分の形ビードは一番しんでさあ第4個なあのカーブ
72.80	81.70	2番手は15万のケートブープでされには10番セクトバイイーストサイオンコーナーから直線に向いたその後ろに内側8番コラソンビートそして4番キャットファイト
81.70	89.74	場軍の中からは2番ウインズロークそして外を通って12番ステレンボシが追い込んでくる 後は9番のアースコリプシェの3枚は15万の
89.74	97.36	ケートブープで打ちから2番のクインズローク12番ステレンボシ外からは9番のアースコリプシェの広がっている7番スイープフィートも追い込んでくるが
97.36	101.92	10番のステレンボシステレンボシステレンボシだ抜けたゴーリ
101.92	108.12	2枚は9番のアースコリプシェの3枚は11番ライトバック
