start_time	end_time	transcript
90.00	113.48	 super
113.48	121.48	今後は、本日はウィープロリーグ第三説、こちらの模様を送りいたします。
121.48	126.48	大震灯を務めます。アデミューのショートミューです。よろしくお願いします。
126.48	132.48	そして、ウィープロリーグの第三説、この配信の解説には、
132.48	137.48	MEDが渋谷、弁幕、主族、お豊かされプロにおかしいただいております。
137.48	139.48	おいさん、よろしくお願いします。
139.48	141.48	おはようございます。
141.48	143.48	第三説ですね。
143.48	147.48	おいさん、大切な説を見てたと思うんですか。
147.48	148.48	はい。
148.48	149.48	どうでした?
149.48	151.48	お楽しみに。
151.48	152.48	お楽しみに。
152.48	153.48	めちゃくちゃお楽しみですよ。
153.48	158.48	もう一つのエンタメートして、もうこれ成立してますよ。
158.48	163.48	もう、今日も、エコヒーピーしたり、
163.48	169.48	イジワルをギュッタリしながら、盛り上げますよ。
169.48	173.48	お子さんやっぱりあのお子のめちゃう場さんをいるのが
173.48	177.32	いやお知っているかあのイジバルをしたくなっちゃう
177.32	179.48	子がたくさんいるんだよ
179.48	182.56	やっぱりどうしたってねどうしたって
182.56	185.88	今日ちょっとそこにね注目ですね
185.88	188.76	ありがとうございます
188.76	191.36	コメント欄もいっぱいおー
191.36	193.56	せいせいしたちもたくさんね
193.56	196.28	コメントしてくれてた
196.28	198.28	みんな頑張れよ
198.28	200.28	うん
200.28	202.28	楽しみでーさーい
202.28	204.28	ありがとうございます
204.28	207.28	それでははじめにVPLを教えない人のために
207.28	211.28	VPLと何なのかご紹介させていただこうと思います
211.28	214.28	VPLはVPLをリーブの逆証で
214.28	218.28	マジョンに熱いなるVtuberの皆さんを応援するために
218.28	220.28	マジョンプロダンターである
220.28	223.28	RMUと日本プロマジョン教会が
223.28	227.28	協力してお伝えしました
227.28	229.28	アゼミアの代表で
229.28	232.28	お会いしたこといただいてもらうしでしょうか
232.28	235.28	そうですねあのマジョンプロと
235.28	240.28	今Vtuberがマージョン会を盛り上げていると
240.28	246.28	で僕も何かできないかなと思って
246.28	248.28	マージョン会をたくさんVtuberの方に
248.28	250.28	たくさんマージョンを盛り上げてくれているんで
250.28	252.28	僕らマージョンプロたちも
252.28	254.28	たくさんVtuberの応援しようと思って
254.28	256.28	始まった企画なので
256.28	258.28	マジョンプロフェッシュのあるではないので
258.28	259.28	細かいね
259.28	262.28	何かこう初心者の方もたくさんいらっしゃるので
262.28	265.28	いつもプロのマージョンを見ているような
265.28	267.28	厳しい目で水にですね
267.28	270.28	今日は一緒に笑ったりね
270.28	271.28	一緒にね
271.28	272.28	悔しかったり
272.28	274.28	一緒者の皆さんと一緒に
274.28	276.28	このマージョン番組
276.28	278.28	VPLのリーブっていうのを
278.28	281.28	見ていきたいなと思っておりますので
281.28	283.28	一緒に楽しんでください
283.28	284.28	よろしくお願いします
284.28	285.28	はい
285.28	287.28	ありがとうございます
287.28	288.28	VPLには
288.28	292.28	当然48目が選手として登録しており
292.28	295.28	文化的なマージョンリーグを開催いたします
295.28	298.28	最新は教会とアレミューチャンネルの
298.28	300.28	両方で配信していきますので
300.28	302.28	各チャンネル登録のお願いと
302.28	304.28	VPL公式ツイッターに
304.28	306.28	全常を支払すしますので
306.28	308.28	こちらのアカウントフローを是非
308.28	310.28	よろしくお願いします
310.28	312.28	そして本日は
312.28	313.28	この後
313.28	315.28	24日から公式ツイッターから
315.28	317.28	スペースで
317.28	319.28	第二日プロテストについて
319.28	321.28	文化人とゲストを迎えて
321.28	323.28	いろいろ話しちゃいます
323.28	325.28	文も受け付けていますので
325.28	328.28	是非遊びに来てくださいでということで
328.28	329.28	うん
330.28	331.28	第二日の
331.28	333.28	お手があるそうです
333.28	334.28	是非皆さんは
334.28	336.28	見てみてください
336.28	337.28	今日見があるなんていう人は
337.28	338.28	一気性に気性だから
338.28	340.28	いろいろ質問してみていただいております
340.28	341.28	すごいねこれ
341.28	342.28	そして
342.28	344.28	VPL公式スポンサーの
344.28	346.28	株式会社
346.28	348.28	9様のご紹介です
348.28	351.28	すでにご存知の方もいらっしゃいと思いますが
351.28	353.28	9様は私や
353.28	354.28	1球として
354.28	355.28	全国に
355.28	357.28	私やさんを展開しておられます
357.28	359.28	官盤商品の
359.28	360.28	辛いモモチや
360.28	362.28	ボダンゴはマージョンプロから
362.28	363.28	大勢さんで
363.28	365.28	今もとないに出店すると
365.28	366.28	SNS等の
366.28	368.28	来店報告なんだかね
368.28	370.28	あとは立ちません
370.28	371.28	3人両化寿
371.28	372.28	ジェラート文文
372.28	373.28	などもあり
373.28	374.28	その幅広さかを
374.28	375.28	想像できないことの
375.28	376.28	美味しい商品が
376.28	377.28	たくさんあります
377.28	378.28	皆さんも
378.28	379.28	ぜひ
379.28	380.28	一度お見せに
380.28	381.28	見てみてください
382.28	383.28	そして
383.28	384.28	共産として
384.28	385.28	一瞬
385.28	386.28	タンスケさまにも
386.28	388.28	上品提供などを
388.28	390.28	ご協力いただいております
390.28	391.28	後品質の
391.28	393.28	ギューダンタペフォーダイで
393.28	394.28	SNSで
394.28	395.28	話題となっておりまして
395.28	397.28	上の本店として
397.28	398.28	幽学長
398.28	399.28	イケブクロ
399.28	400.28	秋葉場の
400.28	401.28	4.4展開ストーリー
401.28	403.28	オンラインショップもあります
403.28	404.28	ご協力を
404.28	405.28	ぜひ
405.28	407.28	みなさまいってみてください
407.28	408.28	さあに
408.28	409.28	個人で
409.28	410.28	共産いただきました
410.28	412.28	雑誌の紹介です
412.28	413.28	先日
413.28	414.28	雑誌をいただきました
414.28	415.28	雑本を
415.28	416.28	VPLの
416.28	417.28	選手にを
417.28	418.28	くらせていただきました
418.28	419.28	先週たちの
419.28	420.28	じゃん力工場のため
420.28	422.28	活躍させていただきます
422.28	424.28	ありがとうございました
424.28	425.28	また
425.28	426.28	不作さんは
426.28	427.28	YouTubeを
427.28	428.28	経ったわけでいて
428.28	430.28	何切る問題とおもありますので
430.28	431.28	ぜひ
431.28	432.28	ごちゃのURLから
432.28	433.28	チャンネル登録の方
433.28	435.28	よろしくお願いします
437.28	438.28	続きまして
438.28	439.28	リーグセルの
439.28	440.28	システムを
440.28	442.28	確認していきましょう
444.28	445.28	えーと
446.28	447.28	で、5説
447.28	448.28	1.3半
448.28	449.28	ちゃん同一メンバーで
449.28	450.28	体育
450.28	451.28	5説終了時
451.28	452.28	上位4名
452.28	454.28	結床審室
454.28	455.28	1.4半
455.28	456.28	ちゃん
456.28	457.28	約1,5として
457.28	459.28	公式スポーサー
459.28	460.28	1.4
460.28	461.28	さんの
461.28	462.28	9様より
462.28	463.28	高級ゼラと
463.28	464.28	You
464.28	465.28	座定ということで
465.28	466.28	高級ゼラと
466.28	467.28	いただきます
467.28	468.28	こちらのシステムで
468.28	469.28	レッドマーちゃん
469.28	470.28	ジャンタマーさんを
470.28	471.28	使って
471.28	472.28	体育をしていきます
472.28	474.28	ほんほん
474.28	475.28	ファンファーザーでは
475.28	476.28	各改善事に
476.28	477.28	メンバーの違う
477.28	478.28	別格を
478.28	479.28	見ていくことになりますので
479.28	480.28	お楽しみに
480.28	481.28	なお
481.28	482.28	優勝者
482.28	483.28	初め
483.28	485.28	正直優勝者には
485.28	486.28	大かな商品が
486.28	488.28	重要される予定です
488.28	489.28	おもが
489.28	491.28	前回出ていなかったんですが
491.28	492.28	何と
492.28	493.28	総額
493.28	494.28	30万円
494.28	495.28	優勝者には
495.28	496.28	10万円分の
496.28	497.28	配信期待を
497.28	499.28	プレイメントいたします
499.28	500.28	2
500.28	501.28	30万
502.28	503.28	4
503.28	504.28	3
504.28	505.28	4
505.28	507.28	3
507.28	509.28	4
509.28	510.28	3
510.28	511.28	4
511.28	512.28	3
512.28	513.28	4
513.28	514.28	3
514.28	515.28	2
515.28	516.28	1
516.28	517.28	2
517.28	518.28	1
518.28	519.28	2
519.28	520.28	1
520.28	521.28	2
521.28	522.28	1
522.28	523.28	2
523.28	524.28	2
524.28	526.28	2
526.28	527.28	1
527.28	528.28	2
528.28	529.28	1
529.28	530.28	1
530.28	531.26	1
531.26	535.58	のemdlを採用しております
535.58	538.84	本南線25000点持ち30万点がし
538.84	546.02	11.1プラス52プラス103-104-30
546.02	551.50	そして赤履が3枚1発カドラカンドラフラウンラーありです
551.50	553.26	ダブロンよし
553.26	555.34	とマハネになってしまいます
555.34	558.14	あと飛びがないですね飛び出し
558.14	561.54	不中入流曲なし切り上げマンガーありです
561.54	564.64	そして飾約1万なしダブルー100万なし
564.64	567.46	純粋な服効果はあります
567.46	570.80	同店は小茶人近い方が上位となります
570.80	573.14	こちらジャンタマさんの塩ですね
573.14	575.66	収容時強度3.5分
575.66	576.64	とプッドリ
576.64	580.26	ジャンマーさんの塩となっております
580.26	581.78	それでは
581.78	583.14	大切
583.14	584.70	こちら第2切ですね
584.70	586.98	結果を見ていきましょう
586.98	590.18	本日大切な説ですので
590.18	592.68	2説までの
592.68	595.94	分かりますかね
595.94	597.86	あとね準備中かな
597.86	599.10	そうするんですが
599.10	601.94	食べましたね
601.94	602.84	お祝いさんどうですか
602.84	604.18	上位に知り合いのか
604.18	607.74	かけ合いしていい感じ
607.74	608.54	何でもあります
608.54	610.14	聞こえてる俺の声
610.14	611.38	聞こえてますよ
611.38	612.46	聞こえてる?
612.46	614.06	今聞こえました
614.06	616.06	お変身ありがとうございます
616.06	617.06	はい
617.06	618.34	もう満足です
618.34	620.06	シュルターさんとお話ができて
620.06	621.06	あぶ
621.06	622.06	満足です
622.06	624.06	これ入ってるあったの?
624.06	624.56	なんかね
624.56	625.06	とちゃう
625.06	627.06	小火やグッズがすごいね
627.06	628.06	すごいですね
628.06	631.06	267.9ポイント
631.06	633.06	すごいね
633.06	635.06	まるでも
635.06	638.06	2説までしかやってないからな
638.06	639.06	何してない
639.06	641.06	4名に入ると
641.06	643.06	決勝なんですよね
643.06	643.56	そうだね
643.56	645.56	100ポイント声か9名
645.56	647.56	だからさっきもちょっと
647.56	648.56	散らっていったんだけど
648.56	650.56	マージャンプロの大会って
650.56	652.56	ない1位しか意味がないとか
652.56	654.56	4位までしか意味がないのが
654.56	655.56	多すぎるんだよ
655.56	658.56	だからダメなの
658.56	660.56	こんなね
660.56	662.56	40何も出てて
662.56	663.56	そう
663.56	666.56	10位とか
666.56	669.56	15位ぐらいまで消費に上げたかったんだけど
669.56	672.56	もうちょっと人数が増えたら
672.56	675.56	もっともっといろんなことができるんだよね
675.56	677.56	あんまり大和価値すぎるとさ
677.56	678.56	遅れちゃうからさ
678.56	681.56	だんたいの人にさ
681.56	683.56	今ギリキリの和価値でやってるから
683.56	686.56	これ大企の募集をすると
686.56	687.56	ちょっと
687.56	688.56	みんずいが多くなると
688.56	690.56	また面白いことに
690.56	692.56	いろんなことができるんじゃないの?
692.56	693.56	うーん
693.56	695.56	なんかこう上のリーグ
695.56	696.56	下のリーグみたいなもので
696.56	698.56	できるかもしれないし
698.56	699.56	あのぜひですね
699.56	701.56	結構
701.56	702.56	あとこの
702.56	705.56	MVGルール最高ということですが
705.56	706.56	おいさんから
706.56	708.56	何かMVがのおいさんから
708.56	711.56	アドバイスとかありますか
711.56	713.56	あんによくわかってないんだよね
713.56	714.56	MVGルール実は
714.56	715.56	え?
715.56	716.56	優勝した?
716.56	717.56	それか
717.56	719.56	それは別にあの
719.56	721.56	総合力が高くて優勝したんですけど
721.56	724.56	こっちにMVTを取ってますよ
724.56	725.56	MVGルールが
725.56	729.56	何が正解って意外と難しくて
729.56	731.56	もしかしたら
731.56	735.56	あのネットマージョンたくさんやられている人の方が
735.56	736.56	赤ありとか
736.56	737.56	おかわりのルール
737.56	738.56	得意なんじゃないかな
738.56	739.56	と思ってね
739.56	741.56	うーん
741.56	743.56	なので
743.56	744.56	結構
744.56	746.56	上位人で言うと
746.56	748.56	まあうるりさんとかね
748.56	749.56	ちごさんとか
749.56	750.56	この辺の人
750.56	752.56	結構
752.56	754.56	なんか
754.56	755.56	MVGルール
755.56	758.56	セッスはなーって思いますね
758.56	760.56	そこから学べることも
760.56	761.56	逆そう
761.56	762.56	ね
762.56	763.56	今日は
763.56	765.56	ちょっとじっくり見てみたいね
765.56	766.56	楽しみでさ
766.56	768.56	ありがとうございます
768.56	769.56	それでは本日の
769.56	772.56	大事先メンバーをご紹介していきます
772.56	775.56	1,000名
775.56	777.56	DX-3
777.56	778.56	甘党
778.56	780.56	キチコ-3
780.56	782.56	猫むしゃ-3
782.56	784.56	やよいかけるさ
784.56	786.56	この4名ですね
787.56	788.56	みんなね
788.56	790.56	変わったことあることとかいいますか
790.56	791.56	みんなだよ
791.56	792.56	みんなだよ
792.56	793.56	みんな
793.56	795.56	おー
795.56	796.56	みんな
796.56	799.56	今日のイスアメンも楽しみですね
799.56	801.56	楽しみだね
801.56	803.56	うーん
803.56	804.56	誰が勝つんだろう
804.56	805.56	みんなはどんな感じなんだかね
805.56	806.56	楽しみです
806.56	808.56	2回前目が
808.56	811.56	チキシルリリーカーさん
811.56	814.56	レモンティアさん
814.56	817.56	で、赤リーカナーさん
817.56	820.56	有楽店はさ
820.56	823.56	レモンティアさん
823.56	826.56	あれを優勝したんだよね
826.56	827.56	あのー
827.56	829.56	プレッシュスタータックっていう
829.56	831.56	本当にできるから
831.56	832.56	カップさんに
832.56	833.56	これがいいんだけど
833.56	835.56	レモンティア
835.56	837.56	が優勝さんで
837.56	839.56	リーグスターに
839.56	840.56	RMUで
840.56	842.56	レーション1回くらいみたいな感じが
842.56	844.56	クラウンド方を
844.56	846.56	レモンティアがとても
846.56	847.56	おー
847.56	848.56	今、カイトフォッチしたんですよ
848.56	851.56	1番最初のお祭り大会
851.56	853.56	優勝したわけよ
853.56	854.56	だから
854.56	856.56	ここでね
856.56	858.56	優勝するようならもう
858.56	860.56	しばらくはレモンティアル
860.56	861.56	いったの
861.56	862.56	すごいことがちよい
862.56	864.56	リオンとから
864.56	867.56	2千目も楽しいね
867.56	869.56	3回目
869.56	871.56	うるりさん
871.56	873.56	2番目ぐるさん
873.56	875.56	まさわは
875.56	876.56	小声さん
876.56	878.56	そしてみなとさん
878.56	881.56	というこの4名ですね
881.56	883.56	おいちゃんが強いんじゃないかといってた
883.56	885.56	うるりさんここで見れますね
885.56	887.56	うるり強いね
887.56	889.56	そっと強いと思うよ
889.56	891.56	ネットマーちゃんってね
891.56	893.56	ずっとやってましたもんね
893.56	894.56	うん
894.56	896.56	そっと強いと思う
896.56	897.56	中幕
897.56	898.56	まずは
898.56	900.56	こちらの3回点を
900.56	902.56	させてくれたんですので
902.56	903.56	みなさんは
903.56	905.56	お楽しみに
905.56	907.56	はい、数字よりでは
907.56	909.56	そろそろ
909.56	910.56	時間になったので
910.56	912.56	感染がもしかした
912.56	914.56	そのおかもしれない
