start_time	end_time	transcript
300.00	303.00	me
303.00	306.00	me
306.00	309.00	me
309.00	312.00	me
312.00	315.00	me
315.00	319.00	me
319.00	321.00	me
321.00	324.00	日本プロマージャン教会チャンネルご覧の皆さんこんにちは
324.00	328.00	本日は日本プロマージャン教会のチーム選対会
328.00	331.00	花風戦の同時市長配信をお送りします
331.00	334.00	私本日の司会を務めます
334.00	338.00	まず前です皆さん、ハップよろしくお願いします
338.00	340.00	ありがとうございます
340.00	342.00	こちらのチャンネルにはですね
342.00	346.00	受け版の選手たちが入れ代わりで出演してくれます
346.00	348.00	1回選はこちらの選手です
348.00	349.00	でねん
349.00	351.00	ミツぐちミカ選手です
351.00	353.00	わー
353.00	355.00	かわいい
355.00	357.00	よろしくお願いします
357.00	359.00	よろしくお願いします
359.00	361.00	よろしくお願いします
361.00	362.00	ふっふ
362.00	364.00	ふっ
364.00	365.00	ふっ
365.00	367.00	パスタクネフィズドーを
367.00	370.00	バッチリアイダで打つっていますね
370.00	372.00	この大会はですね
372.00	374.00	日本プロマージャン教会と
374.00	376.00	いや、ウルリさんまで
376.00	379.00	ウルリさんのファンダーまで来てくれていますけれども
379.00	381.00	この大会、日本プロマージャン教会と
381.00	384.00	ジャンタマニュールチーム対抗戦です
384.00	386.00	100年に続いてなんと
386.00	388.00	3回目の開催となります
388.00	389.00	皆さんのおかげですね
389.00	390.00	ありがとうございます
390.00	393.00	日本プロマージャン教会から2チーム
393.00	395.00	Vtuberによる本格マージャンリーグ
395.00	397.00	VPLから1チーム
397.00	399.00	そして一般予選を勝ち抜いた
399.00	402.00	ユーザーさんたちのジャンタマチームが1チーム
402.00	404.00	以上の4チームが出場します
404.00	406.00	また本体会には
406.00	408.00	専用のXのね
408.00	409.00	8種多く
409.00	411.00	花風戦がございます
411.00	413.00	是非この8種多くを付けて
413.00	415.00	感想や応援メッセージをコストしてください
415.00	417.00	よろしくお願いします
417.00	418.00	またこの大会は
418.00	420.00	ジャンタマコロシキーチャンネルで
420.00	422.00	メインの配信を行っています
422.00	424.00	こちらの同時市長配信と合わせて
424.00	426.00	お楽しみください
426.00	428.00	さあ、このね
428.00	429.00	今年も来ました
429.00	430.00	花風戦
430.00	432.00	はい、来ましたね
432.00	433.00	昨年度は
433.00	434.00	みかさん
434.00	435.00	見事
435.00	437.00	4年初で
437.00	438.00	笑
438.00	439.00	笑
439.00	441.00	すぎる
441.00	444.00	赤の熱予算を見せての
444.00	447.00	あれ、後ろがバトバトしてますけれども
447.00	448.00	すごいな、こんなに
448.00	450.00	引っ張り合い行われることある
450.00	451.00	笑
451.00	452.00	何してるんだろう
452.00	454.00	あら、みんなもってくれてますね
454.00	456.00	はい、やかしなさんたちも
456.00	457.00	来てくれてますが
457.00	458.00	マリゴさんに引っ張られ
458.00	460.00	あれ、あれ、何か?
460.00	461.00	何か映像としてくれてます
461.00	462.00	申し上げ
462.00	464.00	あ、1日目
464.00	466.00	1日目かわいい
466.00	468.00	はい、皆さんね
468.00	470.00	後ろで見えるかもしれませんが
470.00	471.00	今回もですね
471.00	472.00	後ろで
472.00	474.00	選手の皆さんもリアルタイムで売っています
474.00	475.00	そうなんです
475.00	477.00	で、こちらの
477.00	479.00	実況解説をしてくれてますか
479.00	480.00	こちらのですね
480.00	481.00	笑
481.00	482.00	いや、めっちゃ近いな
482.00	483.00	近いよ
483.00	484.00	近いな
484.00	486.00	あ、お前無じゃないんだから
486.00	488.00	いや、うるりさんのね
488.00	491.00	いや、もう
491.00	492.00	今回も
492.00	493.00	今回もといますか
493.00	494.00	今年もですね
494.00	495.00	もう日本プロマーザーに教会からは
495.00	496.00	精英の皆さん
496.00	498.00	集めていますよ
498.00	499.00	お楽しみにというところなんですけれども
499.00	501.00	先ほどねちょっとお話で
501.00	502.00	途中にやってしまいましたが
502.00	503.00	あの、みかさん
503.00	505.00	前回
505.00	506.00	もう見事ね
506.00	508.00	4年初して
508.00	509.00	赤の強さを見せつけて
509.00	510.00	見事
510.00	511.00	優勝
511.00	512.00	そして
512.00	513.00	あの、
513.00	514.00	多ぐ、多ぐ、多ぐ、多ぐ、とか
514.00	515.00	優勝ですね
515.00	516.00	優勝
516.00	517.00	優勝
517.00	518.00	去年は
518.00	519.00	その1人だけ
519.00	520.00	優勝
520.00	522.00	優勝
522.00	523.00	優勝
523.00	524.00	ゲーム内でいただいて
524.00	525.00	はい
525.00	526.00	そちらを
526.00	527.00	着して
527.00	528.00	ずっとね
528.00	529.00	ていかじゃん
529.00	530.00	でも本当に
530.00	531.00	さすがで
531.00	532.00	さっかね
532.00	534.00	じゃあその1人だけだったんですけれども
534.00	535.00	今回はですね
535.00	536.00	なんと
536.00	537.00	優勝したら
537.00	539.00	チーム全員が
539.00	540.00	うーん
540.00	541.00	暑い
541.00	542.00	暑いですよね
542.00	543.00	こっち
543.00	544.00	こっち
544.00	545.00	全部さいもらえない
545.00	547.00	はい
547.00	548.00	はい、じゃあはね
548.00	549.00	ちょっとね
549.00	550.00	ちょっとね
550.00	551.00	え、ちょっと
551.00	552.00	声が入らないから
552.00	553.00	ちょっと赤じゃないかな
553.00	554.00	みんな見てる
554.00	555.00	って聞いてくれてますけれども
555.00	556.34	めっちゃ近づけてくれる
556.34	557.00	みんな見てるよ
557.00	557.54	いえ
557.54	560.00	いや
