start_time	end_time	transcript
60.00	62.00	2
62.00	64.00	2
64.00	66.00	2
66.00	68.00	3
68.00	70.00	2
70.00	72.00	3
72.00	74.00	2
74.00	76.00	3
76.00	78.00	3
78.00	80.00	3
80.00	82.00	4
82.00	84.00	4
84.00	86.00	5
86.00	88.00	5
88.00	90.00	2
90.00	92.00	3
92.00	94.00	3
94.00	96.00	3
96.00	98.00	4
98.00	100.00	3
100.00	102.00	4
102.00	104.00	3
104.00	106.00	4
106.00	108.00	4
108.00	110.00	4
110.00	112.00	4
112.00	114.00	4
114.00	116.00	4
116.00	117.00	4
117.00	119.00	4
119.00	121.00	4
121.00	123.00	5
123.00	125.00	5
125.00	127.00	5
127.00	129.00	5
129.00	131.00	5
131.00	133.00	5
133.00	135.00	5
135.00	137.00	5
137.00	139.00	5
139.00	141.00	5
141.00	143.00	5
143.00	145.00	5
145.00	146.00	5
146.00	146.98	5
146.98	148.98	5
148.98	150.98	5
150.98	152.98	5
152.98	154.98	5
154.98	156.98	5
156.98	158.98	5
158.98	160.98	5
160.98	162.98	5
162.98	164.98	5
164.98	166.98	5
166.98	168.98	5
168.98	170.98	5
170.98	172.98	5
172.98	174.98	5
174.98	175.98	5
175.98	176.48	5
176.48	178.48	おいさんよろしくお願いします
178.48	180.48	どうも
180.48	182.48	おうい高くるです
182.48	186.48	ここは
186.48	188.48	ここはまじめに行きましょう
188.48	190.48	ありがとうございます
190.48	192.48	おいさんは
192.48	194.48	まず最初に
194.48	196.48	お声で出演していただきますけれども
196.48	198.48	この後については
198.48	200.48	どのようなところに
200.48	202.48	高いチャンネルで
202.48	206.48	ここは
206.48	208.48	つなかさんと
208.48	210.48	先馬区のさんがいれば
210.48	212.48	十分だと
212.48	214.48	私がいると
214.48	216.48	公式感がなくなってしまうので
216.48	218.48	大きい
218.48	220.48	大きいお嬉しい
220.48	222.48	大きいお嬉しい
222.48	224.48	ガイヤでもやってるって
224.48	226.48	自分がそう判断しました
226.48	228.48	おうい高い高い高い高い高い
228.48	230.48	お前はガイヤでもやってるって
230.48	231.48	自分で判断しました
231.48	234.48	あんまり毎日
234.48	235.48	すぎちゃうと
