start_time	end_time	transcript
150.00	155.42	インペーバー
156.84	160.54	ムーン
176.04	177.10	全国のilen
177.10	179.10	皆さんはVtuberファンの皆様 こうばんは
181.10	183.26	本日は第3期Vプロリーグ
183.26	187.10	エールイグ第3説 こちらの模様を 送りいたします
187.10	189.10	本日の近い新校を務めます
189.10	192.10	日本プロマージャン教会の 山本井です よろしくお願いします
193.10	196.10	そして本日の解説を紹介していきたいと思います
196.10	199.10	解説は日本プロマージャン教会 所属 朝井高木さんです
199.10	200.10	よろしくお願いします
200.10	201.60	はいよろしくお願いします
201.60	203.60	ありがとうございます
203.60	206.60	ではまずVPLについて 説明させていただきます
207.10	209.60	VPLがVプロリーグの 逆招で
209.60	213.10	マージャンに熱いのあるVtuberの 皆さんを応援するために
213.10	216.10	RMUと教会が協力して 発作しました
216.10	219.60	先日3期生として新たな選手も 加わり
219.60	224.60	創成86名の選手とともに 本格的なマージャンリーグを開催いたします
225.60	230.60	本日はその第3期の第3説の模様を 送りいたします
230.60	231.60	2説を終えまして
231.60	235.60	そろそろ決勝戦や 残留を見せる選手も出てくるころか
236.60	239.60	この説も 秀立の戦いに注目が 集まります
240.60	243.60	今期からは選手数増加に 友達の新たに
243.60	245.60	Vリーグが進撃されております
245.60	248.60	こちらの配信では エリーグの模様を送りいたしますので
248.60	251.60	Vリーグの模様は 各選手の支点配信で
251.60	253.60	楽しみいただけると幸いです
253.60	257.60	そしてVPL4期プロテストのお知らせです
257.60	260.60	VPLでは新たな選手を 巻き起こす
260.60	262.60	4期生の募集を開始しました
263.60	265.60	普段マージャン配信をしているVtuberさん
265.60	268.60	マージャン配信に興味があるVtuberさんなど
268.60	270.60	少しでも興味を持たれましたら
270.60	273.60	VPLの公式ページから 詳細をチェックしてみてください
273.60	275.60	みなさんのごはんをお待ちしてあります
276.60	279.60	では早速システムルーの 紹介にいきたいところなので
279.60	282.60	すが先にスポンサーを紹介させていただきます
282.60	285.60	VPL公式スポンサー
285.60	287.60	VPL4アスリートサーブポトル
287.60	289.60	アスリートサーブポトル
289.60	291.60	大事なところ
291.60	293.60	VPL4アスリートサーブポート様の紹介です
293.60	295.60	日本プロマージャン教会の 公式線で
295.60	297.60	VPLのスポーズドリンクとして
297.60	299.60	同じみのVPL4
299.60	301.60	みなさんもぜひ一緒に 飲んでみてください
302.60	304.60	さらにパートナーとして
304.60	306.60	バガシや一気を展開されている
306.60	308.60	カブス機会社9様
308.60	310.60	コーヒー室の牛旦で同じみ
310.60	312.60	一寸単紙
312.60	314.60	全時道多く全時道マージャンタクも設置
314.60	316.60	人箱の竹本様
316.60	318.60	そして我らが
318.60	320.60	高ちゃんこと多い高春様
321.60	322.60	ありがとうございます
322.60	323.60	以上の皆様に
323.60	325.60	スポンサードご協力いただいております
325.60	327.60	ありがとうございます
327.60	328.60	そしてVPLでは
328.60	330.60	スポンサーパートナーを募集しております
330.60	332.60	企業だけでなく
332.60	334.60	個人の方のスポンサーも大官芸です
334.60	336.60	なんと現在ありがたいことに
336.60	338.60	個人スポンサーも覚えていただいております
338.60	340.60	様々なリタンをご提供させていただきますので
340.60	342.60	ぜひご興味のある方は
342.60	344.60	VPLの公式ページから
344.60	346.60	スポンサーページをチェックお願いします
346.60	348.60	心からお待ちしてあります
348.60	350.60	ではシステムとルールについて
350.60	352.60	説明していきたいと思います
352.60	354.60	A-Leagueは
354.60	355.60	48名
355.60	357.60	B-Leagueは37名での開催
357.60	360.60	午節終了時
360.60	362.60	4位以上が決定先に進出
362.60	366.60	快16名がB-Leagueへ
366.60	367.60	高級
