start_time	end_time	transcript
30.00	32.84	熱ー
32.84	34.84	ん
34.84	36.84	ん
36.84	38.84	ん
38.84	40.84	ん
40.84	42.84	ん
42.84	44.84	ん
44.84	46.84	ん
46.84	48.84	ん
48.84	50.84	ん
50.84	52.84	ん
52.84	54.84	ん
54.84	56.84	ん
56.84	58.84	はい!手伝えつごだなぁ!
58.84	60.84	発生オール!
60.84	63.84	一つもタイヨーティング!
63.84	65.84	ドラドラスターボロ!
65.84	67.84	おやばむしゅうろ!
67.84	69.84	おやばむしゅうろ!
69.84	70.84	ん
70.84	72.84	ん
72.84	74.84	ん
74.84	75.84	ん
75.84	77.84	ん
77.84	78.84	ん
78.84	80.84	ん
80.84	82.84	ん
82.84	83.84	ん
83.84	85.84	ん
85.84	86.84	ん
86.84	87.84	ん
87.84	88.84	ん
88.84	89.84	ん
89.84	91.36	ん
91.36	93.20	ん
93.20	94.70	ん
94.70	98.02	ん
98.48	101.44	ん
105.96	110.02	ん
110.02	113.00	ん
113.00	116.76	ん
116.76	118.78	ん
118.78	133.78	【音楽】
136.78	139.78	全国のマージャンファン、V2番ファンの皆様こんばんは
140.78	145.78	本日は第2期となります、Vプロレーグ第2説、こちらの模様を送りいたします
145.78	149.78	司会信号を務めます、日本プロマージャン教会の山本会ですよろしくお願いします
150.78	157.78	そして、この配信の解説には、MリーがEXフルーニンカザー所属、松岡西高野プロにお越しい頂いております
158.78	160.78	松岡先生よろしくお願いします
161.78	162.78	ありがとうございます
163.78	169.78	この度、VPLには2規制が24名、加わり、想像72名が選手として登録しております
170.78	178.78	今次から上入れの争いだけでなく、開堤具への効果も発生しますので、より一層厚い戦いが繰り広げられていくと思います
179.78	185.78	配信は、教会とRMUチャンネルの両方で交互に配信いたしますので、各チャンネルの登録のお願いと
186.78	188.78	VPL公式EXについじお知らせしていきます
189.78	191.78	こちらのアカウントフォローもよろしくお願いします
192.78	195.78	では、VPL公式スポンサーのご紹介です
196.78	199.78	まずは、株式会社9様のご紹介です
200.78	207.78	既にご存知の方もいらっしゃるかと思いますが、9様は和菓子や1球として全国に和菓子屋さんも展開しておられます
208.78	214.78	観盤商品の辛いも持ちやお団語はVPL選手からも大切さんで、SNSでの報告が後を立ちません
