start_time	end_time	transcript
120.00	142.14	ダメか
180.00	182.00	!
200.00	202.00	Let's go!
202.00	205.00	全国のマーツアウトはVtuberファンナミだ様こんばんは!
205.00	207.00	本日は第2期となります!
207.00	211.00	こちらのマイフォンクリステム、私からのお店をご覧ください!
211.00	213.00	次回、お待ちください!
213.00	216.00	今日はマスニー・ホンプラマシャン教会のおつまけです!
216.00	218.00	よろしくお願いします!
218.00	226.00	今日は、ヌリーガーのお店を作らない通り、ホリシングプラにお菓子を与えます!
226.00	227.00	よろしくお願いします!
227.00	232.00	今日は、ホリーチバでご覧ください!
232.00	234.00	よろしくお願いします!
264.00	269.00	今日は、日本プラマシャン教会とRMUチャンネルの両方で効果に配信していますので、
269.00	271.00	今日は教会チャンネルとなっております!
271.00	276.00	各チャンネルの登録のお願いいた、VPL公式Xについてお知らせしますので、
276.00	280.00	YouTube、Xともにアカウントのファラーをさせて、各様の方も、
280.00	283.00	ぜひ皆様ご協力の方よろしくお願いします!
283.00	286.00	では、VPL公式スポンサーのご紹介です!
286.00	289.00	まずは、株式会社9様です!
290.00	292.00	薬にご参しの方もいらっしゃると思いますが、
292.00	295.00	9様は、私や1球として全国に、
295.00	297.00	私やを展開しておられます!
297.00	300.00	官房商品の辛いももちやお弾語、
300.00	303.00	VPL選手からも大切なお店です!
303.00	305.00	本当にマージャンプロだけに、
305.00	309.00	都道マラスで、各様のところで愛されている話をしてございます!
309.00	311.00	皆さんもぜひ、近くの半枚店に、
311.00	313.00	偉い店の方をお願い致します!
313.00	316.00	続いては、本気からの新規公式スポンサー、
316.00	319.00	ピンクインは、すりとサポンサーなお箇所を紹介です!
319.00	322.00	日本プロマーション協会の公式選で、
322.00	325.00	ピンクインのスポーツとリンクして、
325.00	327.00	もうお馴染みでございます!
327.00	330.00	みなさんもぜひ、一段3点で見てください!
330.00	334.00	こちらを、HOLI-SUNSAKURA NIGHTSのスポーサでもありますよね!
334.00	335.00	あ、そうなんですよ!
335.00	336.00	うん!
336.00	339.00	サクらないツのスポンサーでもあり、
339.00	341.00	協会のスポンサーでもありと!
341.00	342.00	ありがたい!
342.00	345.00	HOLI-SUNがいつも、Mリーズで買った時に、
345.00	347.00	ウィニングピンクインをしてますので、
347.00	348.00	そうですね!
348.00	351.00	皆さんぜひ、こちらのハマナーで見てください!
351.00	354.00	このペットボトルタイプもあります!
354.00	358.00	サクらないツの選手が、ここに国演されているパターンもあったりするので、
358.00	360.00	ぜひぜひそこで何とは、
360.00	362.00	コリペットボトルを飲んでほしいですね!
362.00	363.00	はい!
363.00	364.00	誰のでもか!
364.00	365.00	誰のでもいいですか!
365.00	366.00	はい!やさすいです!
366.00	367.00	はい!
367.00	369.00	さあ、続いたは、ご紹介こちらです!
369.00	371.00	さらにパートナーといたしまして、
371.00	374.00	プロフェッショナルでマイスブランドクーガー様、
374.00	377.00	コンヘイスで牛旦でおなじみ、一瞬探すけ様。
377.00	379.00	また、新たに宿泊一切、
379.00	381.00	高温様より、
381.00	385.00	調査の皆様へ宿泊系をプレゼントしていただけることとなりました。
385.00	388.00	こちらは、優勝者よそお企画でのプレゼントとなりますので、
388.00	391.00	また、ご説にもお知らせいたします。
391.00	394.00	そして、何切るでおなじみの自由作様にも、
394.00	396.00	商品提供を区力いただいております。
396.00	398.00	スポンサーパートナーの皆様のおかげで、
398.00	401.00	大身気も正大なスタートを受けることができました。
401.00	404.00	改めて、一度よりお利用していただきます。
404.00	406.00	本当にいつもありがとうございます。
406.00	407.00	ありがとうございます。
407.00	411.00	では、続きまして、リーグ選のシステムを確認してまいりましょう。
411.00	416.00	一切、半チャン3回選の第5説、
416.00	419.00	5説終了時、4位以上が決定選挙しつ、
419.00	424.00	49位かが3つき作成予定のカイリーグへ、
424.00	425.00	高級となります。
426.00	429.00	決定のポイントは半分も少し、
429.00	433.00	四個時間も今まで0プラスに重量なったのが、
433.00	434.00	5プラスに10秒、
434.00	437.00	つまり、大戦と同じように変更となりました。
437.00	440.00	どっての場合は、先行有利となります。
440.00	441.00	こちらのシステムで、
441.00	444.00	ネットマーザンちゃんとも使っていたい確保をしていきます。
444.00	446.00	なお優勝者はじめ、
446.00	447.00	正式優勝者には、
447.00	450.00	合格の商品が重量される予定となっております。
450.00	453.00	前回でおよ、1から12商品あり。
453.00	456.00	この期は、約1万商品が1級さまより、
456.00	458.00	高級アイスモナカプレゼント。
458.00	460.00	さらに、飛び床といかしまして、
460.00	464.00	15位、20位、30位、40位、50位、60位、70位には、
464.00	465.00	好きなゲームソフト、
465.00	468.00	購入権がついかとなっております。
468.00	470.00	おりさ、僕らは、
470.00	471.00	面白いじゃないですか?
471.00	472.00	はい。
472.00	474.00	ゲームソフト、購入権。
474.00	475.00	はい。
475.00	478.00	でもこれ、65位、60位、70位って、
478.00	479.00	高級権内だよ。
479.00	480.00	そうですよ。
480.00	482.00	複雑な気分。
483.00	485.00	何もね、多分、
485.00	486.00	持ち上がなくなっちゃうと、
486.00	487.00	あれですし、
487.00	488.00	という事を、
488.00	489.00	なるほど。
489.00	491.00	心見と一つとしており、
491.00	493.00	皆さんに楽しんでいただきたいという。
493.00	495.00	本当に初めたばかりの方とかもね、
495.00	496.00	いらっしゃるので、
496.00	498.00	いろんな方に楽しんでいただこうというね。
498.00	501.00	お楽しみよ、その1つはVPLならではだと、
501.00	502.00	このままあります。
502.00	504.00	そしてさらに、
504.00	507.00	Mリーグ倒わせた個人称もおけさせていただきます。
507.00	510.00	最終出選手は優勝となりますので、
510.00	512.00	最高スコアショー、
512.00	513.00	ラス会日々所、
513.00	514.00	こちらを個人に、
514.00	515.00	評価します。
515.00	516.00	こちらを、
516.00	517.00	評価した方には、
517.00	520.00	1万円分の好きなものを購入する権利が、
520.00	521.00	もらえます。
521.00	522.00	選手の皆さん、
522.00	523.00	こちらも合わせて、
523.00	525.00	一緒に頑張っていただきたいと思います。
525.00	526.00	はい。
526.00	527.00	そして、それぞれ、
527.00	528.00	選手の皆さんは、
528.00	529.00	個人でも配信しております。
529.00	531.00	おやしたいVtuberさんを見つけて、
531.00	532.00	個人の配信を見に行ったい、
532.00	533.00	応援コメントも、
533.00	534.00	皆さん、
534.00	535.00	ぜひぜひしてみてください。
535.00	537.00	配信帰国が早く終わった場合の
537.00	539.00	み、インタビューを行う場合も、
