start_time	end_time	transcript
210.00	217.98	カロję服をやってました's
221.48	221.62	ちながら
227.08	228.56	今度は聞こえるか
229.06	230.52	とか іこれかと思うかな
231.26	232.10	 Who気持ちない
232.10	232.60	はい
233.02	233.72	 opening
233.72	235.04	ちょっと1でも
235.98	237.88	これとうと思います
237.88	241.22	あ、こうやってどうですか?
241.22	244.04	はい、改めてまして全国のマーチャンさん
244.04	246.22	Vtuberファンド皆様、コカンは
246.22	249.50	本日はVプロリーグ第二説
249.50	251.62	こちらの模様をアークリーいたします
251.62	253.12	第二説、止めます
253.12	255.62	アーディメンズ仕事みようでよろしくお願いします
255.62	258.84	そしてVプロリーグの第二説
258.84	260.72	この配信の解説には
260.72	263.82	エブリーがチームにXフーディン化算所属
263.82	266.32	待つがせたかやプロにおかしいただいております
266.32	268.32	待ったらせプロケはよろしくお願いします
268.32	270.32	はい、よろしくお願いします
270.32	272.24	今は聞こえてさ
272.24	274.24	はい、聞こえまーてよかったです
274.24	275.32	まただくなったら
275.32	276.32	こんな配信なのに
276.32	278.32	防止かぶっちゃっていいんですか
278.32	280.32	防止やっぱり立っちゃったお気がするか
280.32	281.32	うーん
281.32	282.32	大変なことになるんです
282.32	284.32	うーん、すっごくきれいない
284.32	286.32	今に染めてきたって聞いたんですけど
286.32	288.32	いや、なんかね
288.32	289.82	こんなことになるよ
289.82	290.82	定常なバックなんですよ
290.82	292.32	私へ行って
292.32	293.64	全体ね、ちょっとこういう
293.64	294.64	緑系にしたという
294.64	296.64	インバックが耐えられたんですけど
296.64	298.64	だから、行けるかなと思ったんですけど
298.64	300.64	行けたかったんですよね
300.64	301.64	これね、やっす
301.64	302.64	なきい
302.64	306.64	あ、ただだ
306.64	308.64	ただ、なんかないんですね
308.64	310.64	大変なことになっちゃうので
310.64	312.64	もう一回すりは言ってました
312.64	314.64	これね防止さぶときは
314.64	316.64	何めなくなったことになるんで
316.64	317.64	いや、もう何か
317.64	319.14	そのときは
319.14	320.64	そべてきたんじゃないの未来ですけど
320.64	322.64	なにすかな
322.64	325.64	こんなに綺麗にね、映らないとは思いませんでした
325.64	327.64	まさか
327.64	329.64	あの、こんなまつが
329.64	331.64	昨日は綺麗なね、となかみ色がみたい方は
331.64	333.64	ゼリアのツイッターに飛んでいただき
333.64	334.64	うとすごく綺麗なね
334.64	336.64	飲みがさない見れると思います
336.64	338.64	はい、今日はよろしくお願いします
338.64	340.64	はい、それでは、こちらに
340.64	343.64	ブリーピールを知らない方のために
343.64	345.64	ブリーピールとは何なのか
345.64	347.64	おしゃばかりさせていただこうと思います
348.64	351.64	ブリーピールはブリープロリーグの略称で
351.64	354.64	まずに熱いのあるブリーチューバーの皆さんを
354.64	356.64	応援するために
356.64	358.64	マージャンプロ団体である
358.64	360.64	アンデミュート、日本プロマージャン教会が
360.64	362.64	協力して発足されました
362.64	364.64	塩松田さんはこういった
364.64	366.64	新しい心みを
366.64	367.64	ただんたいどうし
367.64	369.64	クループシャってということなんですが
369.64	370.64	どう思いますか
370.64	372.64	そうですね、これからね
372.64	375.64	まだまだ先にね、長く続けてきてきと思うんですけど
375.64	377.64	最初はね、多分
377.64	379.64	変だと思うんですよ、すごい
379.64	381.64	まだけどね、あの、確実体は
381.64	383.64	もうすごいいい企画なので
383.64	385.64	人もね、あの、1回つもらず
385.64	387.64	いたくらいじゃね、あの、倒れずに
387.64	390.64	あの、なんとかね、走り抜けて
390.64	393.64	長年続く企画になってほしいなと
393.64	395.64	これがね、うまくいくとね
395.64	398.64	マージャン界のね、いろんなところに広がっていくんじゃないか
398.64	400.64	もしよそりゃね、はい
400.64	402.64	ぜひとも頑張っていただきたいですから
402.64	403.64	ちょっとですね
403.64	405.64	今回から始まったばっかりということで
405.64	407.64	ちょっと思考さくごなところもあるんですが
407.64	409.64	はい、いい番組にしていきたいと思うので
409.64	412.64	皆様、ごやかやもご視聴お願いします
412.64	413.64	はい、お願いします
413.64	415.64	はい、BVMには
415.64	418.64	装庭48メカー選手として登録しており
418.64	422.64	ポープテキのマージャンリー5を開催いたします
422.64	424.64	最近は教会
424.64	426.64	日本プラマージャン教会さんですね
426.64	428.64	とアーデミューチャンネルの両方で
428.64	430.64	配信していきますので
430.64	433.64	各チャンネル登録のお願いと
433.64	436.64	VPL公式ツイッターに追徴を支払しますので
436.64	441.64	こちらのアカウントフォローを手指やらすくお願い致します
441.64	445.64	そしてVPL公式スポンサーの株式会社
445.64	447.64	会社、いえなかとごやさえ
447.64	449.64	9様のご紹介です
449.64	453.64	すでにご存知の方もいらっしゃると思いますが
453.64	456.64	9様は、バガシア1球として
456.64	459.64	全国にバガシアさんを展開しておられます
459.64	463.64	監督の商品の持ちや
463.64	466.64	お団子はマージャンプロからも
466.64	469.64	大切さで今もとないに出展すると
469.64	473.64	SNSとで大点報告などが
473.64	474.64	あとを立ちます
474.64	477.64	3日、養画師、チェラート部門もあり
477.64	479.64	その幅広さからは
479.64	481.64	想像的なようなことの
481.64	483.64	美味しい商品がたくさんあります
483.64	486.64	皆様もぜひ一度お見せに行ってみてください
487.64	488.64	ちょっと前ですから
488.64	490.64	まてかさんはこちらを食べたことが
490.64	492.64	ありますので、昨日の食べて
492.64	495.64	おってきにはエラートがすごい好きなの
495.64	497.64	これからの季節はジェラートでいきましょう
497.64	500.64	いいですね、高級ジェラートがあるって
500.64	501.64	似たんでいるんですよ
501.64	502.64	そうなんですよ
502.64	504.64	地合のジェラートがすごいました
504.64	508.64	手を充減まってます
508.64	509.64	待って、待って
509.64	511.64	ということで
511.64	513.64	そして共産として
513.64	515.64	一瞬な月様にも
515.64	517.64	商品提供などを
517.64	518.64	ご協力して
518.64	520.64	いただいております
520.64	522.64	ポインスの牛丹食べ放題で
522.64	524.64	SNSで笑いとなっておりまして
524.64	526.64	上野本店として
526.64	529.64	有楽町、イケブクロ、秋葉原の
529.64	531.64	4店舗を展開し終了
531.64	533.64	オンラインショップもあります
533.64	535.64	こちらのぜひ皆様行ってみてください
536.64	537.64	実は私、この間
537.64	538.64	いったんですよ
538.64	539.64	美味しかった
539.64	540.64	めっちゃ美味しかったです
540.64	542.64	もうまだいけないんですよ
542.64	544.64	やっぱり大好きなんですけど
544.64	546.64	とても美味しいお肉が
546.64	548.64	そうなんだ
548.64	550.64	有楽ハンバーグというのが
550.64	551.64	ありまして
551.64	552.64	おしゃそりに感動しました
552.64	553.64	お家が
553.64	555.64	明日にでも行ってみました
555.64	557.64	はい、はい
557.64	561.64	そして3人、個人で共産いただきました
561.64	563.64	うたくさんの紹介で
563.64	566.64	先日、うたくさんがいただきました
566.64	567.64	うざく文を
567.64	570.64	VPLの選手におくらせていただきました
570.64	572.64	で、週末の
572.64	574.64	じゃんゆく工場のため
574.64	576.64	勝ち合わせていただきました
576.64	578.64	ということで、
578.64	580.64	何またうざくさんはYouTubeもやっていて
580.64	582.64	何切る問題と思うありますので
582.64	584.64	ぜひこちらのYouRLから
584.64	586.64	チャンネル登録の方よろしくお願いします
588.64	590.64	今日のYouRLから
590.64	592.64	呼べるようになっているんですかね
592.64	594.64	はい、ぜひ頼んでいただきまして
594.64	596.64	おまいまーす
596.64	598.64	続きまして
598.64	600.64	既然のシステムを確認していきましょう
600.64	602.64	なんですかね
602.64	604.64	1点の仲当が
604.64	606.64	はい、全5節
606.64	608.64	1節3半ちゃ
608.64	610.64	同一メンバーで対決
610.64	612.64	そして5節終了地
612.64	616.64	4名が決勝2審室
616.64	618.64	決勝は4半ちゃ
618.64	620.64	やっぱり1つはとして
620.64	622.64	公式スポンサー
