start_time	end_time	transcript
0.00	1.00	はいはいはいはい
1.00	3.00	お二人はどうなんですかその
180.00	187.00	ん
187.00	190.00	ん
190.00	195.00	ん
195.00	199.00	ん
199.00	202.00	ん
202.00	205.00	ん
205.00	208.00	ん
208.00	215.00	ん
215.00	218.00	ん
218.00	223.00	ん
223.00	226.00	ん
226.00	230.00	ん
230.00	233.00	ん
233.00	236.00	ん
238.00	241.00	ん
242.00	245.00	まじんさん、вет right
245.00	251.30	どうも!本日は第三期Vプロリーグ・エーリーグ第1説こちらの模様をお送りいたします。
251.30	255.90	次回進行を務めます。日本プロマージャン教会、まつ名前です。よろしくお願いします。
255.90	260.40	まずは本日の解説、ゲストを紹介していきたいと思います。
260.40	264.70	解説は日本プロマージャン教会所属、岸原コイチプロです。
264.70	267.10	岸原さん、よろしくお願いします。
267.10	270.80	はい、日本プロマージャン教会岸原コイチです。よろしくお願いします。
270.80	272.30	わー!
272.30	273.80	わー!
274.20	278.10	本日はVPLの姿でお腹しんどいと思います。
278.10	279.10	そうなんですよ。
279.10	281.10	はい、ありがとうございます。
281.10	285.60	そして、もう一方、スペシャルゲストをお腹しんどきました。
285.60	288.40	じゃんたまでは、コンテンバで登場されています。
288.40	291.40	Vtuber、さっきのモークさんです。
291.40	294.00	はい、どうも、コンボコです。
294.00	297.80	このステワーさんに出来たいと思いますよ。よろしくお願いします。
297.80	299.80	わー!
300.80	301.80	はい、はい。
301.80	303.80	もう一方、もう一方、ごちそうさまでしたいです。
303.80	305.80	よろしくお願いします。
305.80	310.80	さあ、ということで、本日はお腹方に解説をしていただきたいと思います。
310.80	313.80	まずは、VPLについて説明させていただきます。
313.80	319.80	VPLはVプロリーグの略章で、マージャに熱いのあるVtuberの皆さんを応援するために、
319.80	323.80	RVMUと日本プロマージャン教会が協力して発足しました。
323.80	327.80	先日、3期生として新たな選手も配わり、想像なんと、
327.80	332.80	86名の選手と共に本格的なマージャにご開催いたします。
332.80	335.80	本日は、その第3期ですね。
335.80	337.80	しかも、開幕説です。
337.80	342.80	第2期は、1期生の切り先、つくも選手が逃げようと優勝しましたが、
342.80	346.80	果たして、コン期は、どなたが優勝するのか、
346.80	348.80	またどのような展開が待っているのか、
348.80	351.80	皆さんはぜひ見逃さない戦いが、いよいよ始まりますので、
351.80	355.80	まずはこの開幕説で、一緒に楽しんでいきましょう。
355.80	357.80	はい。
357.80	360.80	そして、コン期から選手増加に伴い、
360.80	365.80	新たに、リーグが新設されました。
365.80	367.80	わかった。
367.80	370.80	リーグが出来ちゃいましたよ。
370.80	372.80	すごいね。
372.80	376.80	リーグができたということは、
377.80	382.80	今までとは、違う楽しみ方があるということです。
382.80	384.80	こちらの配信では、
384.80	386.80	リーグのもよく送りいたしますので、
386.80	390.80	リーグの名をは、各選手の支点配信でお楽しみください。
390.80	394.80	そして、リーグが分かれたということは、
394.80	400.80	そう、小球、そして、高球があるわけですね。
400.80	402.80	そうなんですよ。
403.80	406.80	そうなるほどね。
406.80	410.80	106名がリーグ入れ替えとなる予定です。
410.80	412.80	16人も。
412.80	415.80	LVから16名が高球、
415.80	419.80	BVから16名が小球という形で、
419.80	422.80	そうで32名が入れ替わるという形ですね。
422.80	424.80	結構入れ替わるな。
424.80	426.80	そうなんですよ。
426.80	428.80	そうなんですよね。
428.80	430.80	リーグ選ね、後半では、
430.80	431.80	もう本当に、
431.80	434.80	掃除つな闘いがクリーローゲラれるんじゃないかなと、
434.80	435.80	思いますので、
435.80	437.80	みなさんはぜひですね、
437.80	439.80	本日の開幕説から、
439.80	440.80	最終説まで、
440.80	442.80	もうお見逃しないように、
442.80	444.80	毎回お楽しみください。
444.80	445.80	それでは、
445.80	447.80	早速ルール紹介に来たいところですが、
447.80	448.80	先に、
448.80	451.80	スポンサー様の紹介させていただきます。
451.80	453.80	VPL公式スポンサー、
453.80	457.80	BYNC-4アスリートサポート様のご紹介です。
457.80	459.80	日本プロマージャン教会の公式選で
459.80	461.80	ピンク色のスポースドリンクとして
461.80	463.80	お馴染みのピンク色の
463.80	464.80	みなさんは、
464.80	465.80	こちら是非、
465.80	467.80	一度飲んでみてください。
467.80	469.80	よくね、
469.80	471.80	Vtuberの方とかも、
471.80	472.80	あとマージャンプルも、
472.80	473.80	こちらのピンク色を飲んで、
473.80	475.80	ジャンタマに挑戦するみたいなね。
475.80	476.80	やってますよね。
476.80	478.80	したくとかもいろいろやっているんですけれども、
478.80	480.80	本当に普通においしいですこのピンク色の
480.80	481.80	みなさんは。
481.80	483.80	僕はピンクがおすすめです。
483.80	485.80	ピンク色のスポンサーをすすめる。
485.80	487.80	ピンクと人があってね、
487.80	489.80	ポインメのピンクはおすすめです。
489.80	491.80	ピンクしか飲んだことない。
491.80	492.80	今日も飲んだことないんです。
492.80	493.80	白のはいです。
493.80	495.80	実は今、
495.80	498.80	エニーでているピンクが普通のタイプですね。
498.80	499.80	ちょっと、
499.80	501.80	甘めなんですけれども、
501.80	503.80	飲んすいとというものがありまして、
503.80	505.80	甘さを抑えているやつがあるんですよ。
505.80	507.80	なるほど。
507.80	509.80	そっちの方がピンクかもしれんだな。
509.80	510.80	これで、多分なんですけど、
510.80	512.80	女性は飲んすいと多分好きだと思います。
512.80	514.80	甘さを控えめで、
514.80	516.80	女性の方にもごくごく飲んでいただけるということで、
516.80	518.80	みなさんぜひ飲んでみてください。
518.80	520.80	はい、ありがたわピンクよさ。
520.80	521.80	はい、どうも。
521.80	523.80	ありがとうございます。
523.80	524.80	キュウサマは、
524.80	526.80	キュウサマは、
526.80	528.80	キュウリの人があったと思っている。
528.80	530.80	あったと思っている。
530.80	532.80	いいから捌わてなくて。
532.80	534.80	ささるに、
534.80	535.80	共産として、
535.80	537.80	私や一球を展開されている
537.80	538.80	株式会社、
538.80	539.80	キュウサマ。
539.80	541.80	ありがとうございます。
541.80	543.80	ありがとうございます。
543.80	545.80	こちらですね。
545.80	547.80	約1万書を頑張っていただいています。
547.80	549.80	約1万書。
549.80	551.80	好きな牛乳たちで同じ身、
551.80	553.80	一寸、
553.80	555.80	お疲れ様、
555.80	557.80	ありがとうございます。
557.80	558.80	そして、
558.80	560.80	全時動画のセッチ、
560.80	562.80	民博の竹保安様。
562.80	564.80	竹保安様。
564.80	567.80	ありがとうございます。
567.80	568.80	そして、
568.80	569.80	我らが、
569.80	570.80	高橋ちゃんこと、
570.80	571.80	多い高橋様。
571.80	573.80	以上のみなさんのみなさんのみなさん。
573.80	575.80	ありがとうございます。
575.80	577.80	ありがとうございます。
577.80	578.80	本当に、
578.80	579.80	高橋ちゃんことはおいさ。
579.80	581.80	いつもありがとうございます。
581.80	582.80	はい、
582.80	583.80	そして、
583.80	584.80	VPLでは、
584.80	586.80	スポンサーパートナーを
586.80	587.80	ずいじぼしゅうしています。
587.80	588.80	今、
588.80	589.80	ご視聴いただいているみなさま、
589.80	591.80	本当にね、
591.80	592.80	これ、
592.80	593.80	多分、
593.80	594.80	キュウだけではなく、
594.80	596.80	個人の方のスポンサーも大管理ということですので。
596.80	598.80	そうなんです。
598.80	599.80	皆さんも、
599.80	600.80	ぜひ、
600.80	601.80	本日、
601.80	602.80	見ていただいて、
602.80	603.80	これは、
603.80	604.80	俺も、
604.80	606.80	私も応援したいと思っていただけた、
606.80	608.80	個人前の方もですね、
608.80	609.80	あの、
609.80	610.80	ずいじ、
610.80	611.80	スポンサーさま、
611.80	613.80	大募集、大管理という事で、
613.80	614.80	ぜひ、
614.80	615.80	ご一緒いただけたのと思います。
615.80	617.80	きーはげさんのスポンサーとかできるんだ。
617.80	618.80	でもね、
