start_time	end_time	transcript
120.00	130.00	【音楽】
131.00	134.00	全国のバージョンファン、Vtuberファンの皆様、こんばんは!
135.00	139.00	ごちそうさ、皆さんはおばちかね、VPLでの愛心の本番とも言います。
140.00	142.00	Vプロリーグ、勝ちなどもようと解決してまいります。
143.00	145.00	本日、司会心向を務めさせていただきます。
146.00	147.00	日本プロマージョン教会のつばけです。
147.00	149.00	よろしくお願いします。
150.00	151.00	頑張ります。
152.00	154.00	Vプロリーグの第1セットスタートとなります。
155.00	158.00	この愛心の解説にはVPLのまとめやくでもあります。
159.00	161.00	多い高春プロにも教えていただいてあります。
162.00	163.00	ご視聴よろしくお願いします。
164.00	165.00	はい、ご視聴お願いします。
166.00	167.00	どこちょー?
168.00	169.00	始まりましたね。
170.00	172.00	始まりましたも、やっぱりVtuberという場も多いさんですかね。
173.00	175.00	Vtuberという場僕です。僕がVtuberです。
175.00	179.00	アクタイムにあるみたいな活動があるものですが、
180.00	182.00	私はVtuberの好きでチェラボラを見るんですけど、
183.00	184.00	詳しくないので、そこらへんぜひ、
185.00	186.00	また好きでいただけたらと、
187.00	188.00	お待会いしてください。
189.00	193.00	それでは、まずは、始めに、VPLを知らない方々のためにVPLとか、
194.00	196.00	何者の化をお祝福させていただきたいと思います。
197.00	201.00	VPLとは、Vプロリーグの理由、勝ちです。
201.00	211.00	マージャーに熱いのあるVtuberの皆さま応援するために、アージャンプロダンタイであるRMUと4プロマージャン曲が強力しておそくいたしました。
211.00	218.00	おいしさ、こちらは特にこのプロジェクト、感督と言いますか、プロジェス当ていますか、やられていたというお話をかかっております。
218.00	227.00	そうですね。もう長く僕自身がYouTubeはじめて、マージャーの配信をする上でもVtuberかかせない存在になっていて、
227.00	236.00	このような配信を持ってもっと関係されなかったので、このイベントが始まったという感じですよね。
236.00	243.00	本当にかき的なマーザン会の長い歴史の中でも、新たなスタイトスによってもすごいです。
243.00	245.00	そうなんですよ。
245.00	247.00	楽ですよね。本当にありがとうございます。
247.00	255.00	本当においしさは、チブやアベマーズで、Mリーがとしても活躍しながら、新党のVtuber活動もされているという。
256.00	258.00	危ないところでして、アマジで。
258.00	260.00	やったら出そうになる。
260.00	264.00	上まず残れながったら、今日どんなテンションだったんでしょうか。
264.00	265.00	怖いです。
265.00	267.00	やり気づいていけたらどうか。
267.00	276.00	はい、ということで、この配信VPLには、そうで48名の選手が登録しておりまして、
276.00	279.00	もうかき的なマーザンにご開催してまいります。
279.00	284.00	配信は日本プロマーザー教会とRMUのチャンネル、今後に配信してまいります。
284.00	286.00	今後なんです。
286.00	288.00	今後に配信していきます。
288.00	289.00	今日は教会さんね。
289.00	290.00	ありがとうございます。
290.00	293.00	日本プロマーザー教会チャンネルでご視聴いただきまして、
293.00	297.00	次は、リエルマジで、RMUの対チャンネルの方で、
297.00	298.00	ご視聴いただきますので、
298.00	299.00	皆さんもぜひ、
299.00	301.00	要望のチャンネルの登録と、
301.00	304.00	要望のチャンネルの高評価の方法を押していただけると、
304.00	305.00	助かります。
305.00	306.00	お願いします。
306.00	309.00	そして、VPLをほしきっていたんもございます。
309.00	311.00	お知らせとはこちらでいたしますと、
311.00	314.00	このフォローの方もよろしくお願いいたします。
314.00	315.00	それでは、
315.00	318.00	VPL公式スポンサーのご紹介です。
318.00	319.00	お!
319.00	320.00	はい、
320.00	321.00	株式会社、
321.00	323.00	9層学部省からしてまいりません。
323.00	326.00	それにご存知の方もいらっしゃると思いますが、
326.00	327.00	9層は、
327.00	328.00	私はいい、
328.00	329.00	9層して、
329.00	331.00	全国に和らしい方を撤退しておられます。
331.00	332.00	パンバー商品の、
332.00	333.00	辛いまもち、
333.00	334.00	そしてご団子は、
334.00	337.00	マジョンプロからも大切な、
337.00	338.00	最近では、
338.00	341.00	隣にも出伝することを多す、
341.00	342.00	SNSでの、
342.00	343.00	回転報告なども、
343.00	344.00	当たりは立ちません。
344.00	345.00	さらに、
345.00	346.00	ようかし、
346.00	348.00	ジェラートブノンポームございます。
348.00	350.00	その幅広さからは、
350.00	352.00	想像できないことのおいしい商品、
