start_time	end_time	transcript
150.00	152.00	!
172.40	176.08	全国のマージョンさんVtuberパンの皆様こんばんは
177.08	182.08	本日は第4期Vtuberリーグ・エイリーグ第2節の模様をお送りいたします
182.08	185.08	司会進行を止めます 日本プロマージョン教会は今までです
185.08	189.08	皆さん、ハッピュよろしくお願いします
189.08	194.08	そして、本日の解説の方、まずご紹介いたしましょう
194.08	198.08	日本プロマージョン教会所属、日本オープンではレンパもなしとげています
198.08	201.08	イーダマサキプロですよろしくお願いします
201.08	202.08	はい、お願いします
202.08	204.08	日本プロマージョン教会イーダマサキです
204.08	205.08	よろしくお願いします
206.08	210.08	皆さん、皆さんこのVTLの解説に来ていただくので
210.08	212.08	2回目ですね
212.08	213.08	2回目ですね
213.08	214.08	はい
214.08	217.08	多分前回も私実況させていただいたと思うんですけれども
217.08	219.08	それぶりということですよね
219.08	220.08	それぶりです
220.08	222.08	はい、久しぶりですね
222.08	224.08	ちょっと増えてますから
224.08	228.08	そう、なんか二体の確認にとか
228.08	232.08	そうなんですよ、もうついに3桁に行っているんですけれども
232.08	235.08	ちょっとまたですね、イーダカニもたくさんね
235.08	238.08	このVPLの選手をしていただきたいなと思いますので
238.08	240.08	注目して見ていただければと思います
240.08	241.08	はい、お願いします
241.08	245.08	それでは、まずはVPLについて説明をさせていただきます
245.08	247.08	VPLはVプロリーグの略称で
247.08	251.08	マージョンに熱いのあるVtuberの皆さんを応援するために
251.08	255.08	RMUと日本プロマージョン教会が協力して発作しました
255.08	259.08	先日、ついに4期生を新たに迎えまして
259.08	264.08	そうぜ、105名の選手とともに本格的なマージョンに5回再いたします
264.08	269.08	本日は第4期、第2節の模様をお届けいたします
269.08	272.08	もう本当に選手を開幕したばかりなんですけれども
272.08	275.08	すでにですね、熱い戦いが繰り広げられています
275.08	279.08	果たして、今回はどのような点開が待っているのか
279.08	281.08	皆さん、お楽しみに
281.08	283.08	さぁ、続いてですね
283.08	285.08	スポンサーの皆様ご紹介させていただきます
286.08	290.08	VPL公式スポンサー、ピンクインをアスリート様のご紹介です
292.08	294.08	ピンクインをアスリート、サポート様のご紹介です
294.08	298.08	日本プロマージョン教会の公式戦でピンクイロのスポーツドリンクとして
298.08	301.08	同じみのピンクイロ、ピンクイロこちらでございます
301.08	304.08	で、で、あ、今、映画が凄い出てましたね
304.08	308.08	はい、そちらの絵をご覧いただいた方が大きくし見やすいですね
308.08	309.08	はい、すれいだしました
309.08	311.08	ごちゃありがとうございます
312.08	316.08	皆さん、こちらですね、本当に飲みやすい
316.08	318.08	まあ、じゃん、中央もちろんなんですけど
318.08	320.08	普段私運動もするんですが
320.08	323.08	運動する際にもお勧めのドリンクとなっていますので
323.08	325.08	ぜひお試しください
325.08	327.08	さらに、パートナーとして
327.08	330.08	私や息を展開されている株式会社9様
330.08	333.08	公品室なギュタンで同じみ一進、男子け様
333.08	335.08	前児童マージョンタクも設置
335.08	338.08	人箱の高保安様
338.08	341.08	そして、我らが高さじゃんこと多い高ある様
341.08	344.08	個人スポンサートして赤コリラ白色様
344.08	347.08	アニジャットをたじま、ユーア様
347.08	350.08	以上の皆様にスポンサートご教さんいただいています
350.08	352.08	本当にありがとうございます
353.08	358.08	まだまだVPLではスポンサーパートナーの皆様をご紹介しますので
358.08	360.08	もしご興味ございましたら
360.08	362.08	VPLの公式ホームページから
