start_time	end_time	transcript
120.00	127.00	ん
127.00	132.00	ん
132.00	135.00	ん
135.00	140.00	ん
140.00	145.00	ん
145.00	149.00	ん
149.00	152.00	ん
152.00	155.00	ん
155.00	158.00	ん
158.00	161.00	ん
161.00	164.00	ん
164.00	167.00	ん
167.00	170.00	ん
170.00	174.00	ん
174.00	177.00	ん
177.00	179.00	ん
179.00	181.00	ん
181.00	184.00	ん
184.00	187.00	ん
187.00	190.00	ん
190.00	193.00	ん
193.00	196.00	ん
196.00	199.00	ん
199.00	202.00	ん
202.00	205.00	ん
205.00	207.00	ん
207.00	210.00	ん
210.00	214.00	ん
214.00	216.00	ん
216.00	222.00	ん
222.00	225.00	ん
225.00	228.00	ん
228.00	230.00	ん
230.00	233.00	ん
233.00	234.00	ん
234.00	236.00	ん
236.00	237.00	ん
237.00	238.00	ん
240.00	241.00	ん
241.00	243.00	ん
243.00	245.00	ん
245.00	248.00	ん
248.00	249.00	ん
249.00	250.00	ん
250.00	251.00	ん
251.00	260.00	ん
260.00	261.00	ん
261.00	263.00	ん
263.00	267.74	そして日本プロマージャン教会所属 松本吉日祿部呂にお越しいただいております
267.74	269.36	松本さんよろしくお願いします
269.36	269.90	あっぶ
269.90	271.40	あっはははははは
271.40	272.32	よろしくお願いします
272.32	273.52	よろしくお願いします
273.52	274.32	お願いします
274.32	276.26	はいということで
276.26	278.52	本日はねVプロリーグでございます
278.52	281.04	お客し実は初めて
281.04	282.04	書こうらせていただきます
282.04	282.84	よろしくお願いします
282.84	283.64	いや僕もです
283.64	284.68	はっはっはっは
284.68	285.52	初々です
285.52	286.12	はいお願い致します
286.12	287.68	よろしくお願い致します
287.68	289.60	それではまず初めにですね
289.60	291.72	VPLを知らない方のために
291.72	295.32	VPLとは何なのかご紹介させていただきます
295.32	298.52	VPLとはVプロリーグの略称で
298.52	300.88	マージャーに熱いのあるVtuberの皆さんを
300.88	302.12	応援するために
302.12	303.68	マージャンプロ団体である
303.68	306.00	RMUと日本プロマージャン教会が
306.00	308.12	協力して補促しました
308.12	311.36	先日第2期のプロセストも終了しまして
311.36	312.84	第1期のリーグ選は
312.84	316.60	なんと本日を含め残り2セットになっております
316.60	317.40	さまちもとさん
317.40	319.96	プロリエルいろいろと盛り上がってきております
319.96	321.48	ねいっぱいいいんずいますからね
321.48	323.92	それで上位4人が決勝
323.92	324.40	はい
324.40	325.28	大切なのでも
325.28	326.80	今日4セットなので大事なですね
326.80	327.76	そうなんです
327.76	328.08	そうなんです
328.08	329.12	そうなんです
329.12	330.12	そうなんです
330.12	331.12	そうなんです
331.12	332.12	そうなんです
332.12	332.24	そしてですねこのVPL
332.24	336.16	そう是48名が選手として現在協力しております
336.16	338.84	本格的なマージャンニグとなっております
338.84	341.60	配信は日本プロマージャン教会チャンネル
341.60	345.76	そしてRMUチャンネルの両方で配信していきますので
345.76	348.60	皆さんも是非各チャンネルの登録のお願いと
348.60	350.88	VPL公式ツイッターでは
350.88	353.80	ずいじ最新のお知らせをいたしますので
353.80	356.08	皆様そちらも是非アカウントフォローを
356.08	358.24	よろしくお願いいたします
358.24	361.56	そしてVPL公式スポンサーの株式会社
361.56	363.64	9様のご紹介です
363.64	366.20	すでにご存知の方もいらっしゃると思いますが
366.20	367.12	9様は
367.12	369.12	私や1球として全国に
369.12	371.48	私やさんを展開しておられます
371.48	373.92	官盤商品の辛いも持ちや
373.92	376.68	お団語はマージャンプロから大絶賛で
376.68	378.68	今も隣に出展しますと
378.68	381.08	SNSなどで来店報告などが
381.08	382.64	あとを立ちません
382.64	383.36	さらに
383.36	386.20	ようがしゼラート部門などもございまして
386.20	389.12	その幅広さからは想像できないほどの
389.12	391.60	おいしい商品がたくさんございます
391.60	394.32	皆さん是非一度お店にお立ちよりください
394.32	395.36	まじおいしいからね
395.36	396.68	本当に
396.68	397.60	私
397.60	399.60	ゼラートも大好きで
399.60	401.52	法治者人めちゃめちゃおすすめです
401.52	402.24	是非
402.24	402.96	是非
402.96	404.68	ここに行くなさい
404.68	406.52	そしてなんとですね
406.52	409.20	この株式会社9様なんですけれども
409.20	414.04	工房社長が現在ちょっと体調崩されているということでね
414.04	415.28	めちゃくちゃ心臓ですね
415.28	416.80	びっくりしました
416.80	418.12	僕はあのレラクスを知らないんですけど
418.12	420.36	工房社長本当に
420.36	421.72	お会い人にしていただいて
421.72	423.44	でも本当にご無理なさらずに
423.44	425.08	お大事になざってください
425.08	426.08	いつもありがとうございます
426.08	427.32	いつもありがとうございます
427.32	429.52	そして共産として
429.52	431.16	一瞬単付様にも
431.16	433.68	商品提供などご協力いただいております
433.68	436.12	購品質の牛炭食べ放題で
436.12	437.08	SNSでね
437.08	438.48	話題となっておりまして
438.48	439.72	上の本店として
439.72	440.56	有楽町
440.56	441.44	イケ袋
441.44	443.64	秋葉原の4店舗展開勝利
443.64	445.28	オンラインショップもございます
445.28	447.32	皆様是非こちらもご利用ください
447.32	448.12	くいて
448.12	449.32	いやもう本当に食べたい
449.32	450.32	お長ぶいた
450.32	451.28	いやお長さいてるんです
451.28	453.52	皆さん私達
453.52	456.64	そしてお気づきでしょうか
456.64	457.88	VPLに
457.88	458.88	サラナル
458.88	461.60	ありがたいスポンサー様がつきました
461.60	464.84	あのドイツのプロフェッショナルデバイスブランド
464.84	466.32	クーガーさまより
466.32	468.96	高級ゲーミングチェアを始めとする
468.96	472.04	デバイスが提供されることとなりました
472.04	473.96	そういえばクーガーさんといえば
473.96	476.68	ファズカップにもご提供いただいております
476.68	477.56	そうありました
477.56	478.16	そうなんですよね
478.16	480.84	どうやら運営の日本プロマージョン教会の
480.84	483.44	キリアマさんとお知り合いみたいですね
483.44	486.44	本当にいつもありがとうございます
486.44	487.52	そしてですよ
487.52	489.36	このクーガーさまより
489.36	491.04	優勝者の方に
491.04	493.84	なんと高級ゲーミングチェアが
493.84	495.64	増ってされるとなことです
495.64	496.64	すごいよ
496.64	497.64	すごい
