start_time	end_time	transcript
120.00	130.48	全国のマージャンさんVtuberファンの皆様は
130.48	135.80	本日は第3期VプロリーグALEG第5説の模様をお送りいたします
135.80	137.84	司会進行を務めます 日本プロマージャン教会
137.84	142.16	ます名前です 皆さんはというよろしくお願いします
142.16	146.04	そして本日の解説の方はこちらの方です
146.04	150.16	エムリーグセガスタミーフェニックス所属 日本プロマージャン教会
150.16	153.92	朝い高きプロです よろしくお願いします
153.92	156.56	朝いさんよろしくお願いします
156.56	160.84	さあまずはですねVPLについて説明をさせていただきます
160.84	166.64	VPLはVプロリーグの略章でマージャンに熱いのあるVtuberの皆さんを応援するために
166.64	170.80	RMUと日本プロマージャン教会が協力して 発足しました
170.84	176.36	想像80歩く名の選手とともに 本格的なマージャンリーグを開催しています
176.36	180.88	本日はその第3期第5説の模様をお送りいたします
180.88	183.88	こちらはリーグセン最終説のあっておりまして
183.88	191.32	本日で結症進出者そして 消防急の方が決定しちゃいます
191.32	195.28	ALEGでは結症性に残る4枚くんめぐる荒野以外にも
195.28	198.48	秀つな残留争いが繰り広げられています
198.48	203.00	そしてVLEGでは消費をかけた戦いもあり 見所まんてんとなっています
203.00	206.60	全ての対局をお届けしたいところではございますが
206.60	209.80	本配信ではALEGの配信のみとなっています
209.80	213.80	VLEGは各選手の指点配信を皆様ぜひ 見に下げてください
213.80	215.72	お願い致します
215.72	220.48	そして先日VPL第4期プロテストが開催されました
220.48	225.32	研修も無事終了しVPL4規制が誕生いたしました
225.32	227.80	ご覧された皆さんおめでとうございます
227.80	232.12	5日開催されるフレンシュースターカップが 初の公式戦途なりますので
232.12	234.48	そちらもぜひお楽しみに
234.48	238.16	続いてスポンサーの皆様ご紹介いたしましょう
238.16	240.48	VPL公式スポンサー
240.48	243.52	ピンクインアスリートサポート様のご紹介です
243.52	246.00	日本プロマージャン教会の公式戦で
246.00	250.44	ピンクイロのスポーツドリンクとして 同じみのピンクインをこちらですね
250.48	253.28	皆様ぜひ一度飲んでみてください
253.28	255.68	マージャンのおともにも最適です
255.68	257.68	さらにパートナートして
257.68	261.48	我が幸や一気を展開されている 株式会社九様
261.48	263.52	後品質なぎゅうたんでおなじみ一心に
263.52	267.00	単紙様全時のマージャンタクも設置
267.00	270.48	民博の竹本様
270.48	273.84	そして我らが高じゃんこと多い高ある様
273.84	277.48	また個人スポンサーとして赤豪利ら 白色様
277.48	279.28	アミジャットたじまゆうや様
279.28	282.12	以上の皆様にスポンサーとご協作いただ いています
282.12	284.56	本当にありがとうございます
284.56	288.04	まだまだVPLではスポンサーパートナーを 募集しています
288.04	291.04	様々なリタンをご提供させていただきますので
291.04	294.72	ぜひご興味のある方はVPLの公式ホームページから
294.72	297.24	スポンサーページをチェック お願い致します
297.24	299.88	心からお待ちしています
299.88	301.40	それではお待たせいたしました
301.40	305.24	システムとルールについて説明していきましょう
305.24	308.68	こちらですねまずは画面を見ていただきましょう
308.68	310.48	はいシステムはこちら
310.48	312.28	A-LIGは48名
312.28	315.52	B-LIGは37名での開催となっています
315.52	319.28	5節終了時4位以上が決定戦に進出
319.28	322.72	回16名がB-LIGへ高級となります
322.72	325.16	決勝戦は5節までのポイントを半分持ち
325.16	327.76	こして行われます
327.76	330.76	続いてこちら
330.76	334.92	ルールはジャンタマ大会モードのM-LIGルを 採用しています
334.92	338.00	トンナン線の25000点持ち3万点がいし
338.00	347.24	11点は1・フラス50ポイント2・フラス10ポイント3・マイナス10ポイント4・マイナス30ポイント
347.24	349.44	赤灰が3枚入っています
349.44	353.48	一発裏ドラカンドラカンブラドラ 雑います
353.48	356.08	ダブロンはございません 頭羽根となります
356.08	358.00	飛び終了もございません
358.00	360.12	途中流行曲も一切ございません
360.12	362.96	また切り上げ満感となっています
362.96	365.36	数え役万、ダブロ役万、ございません
365.36	367.40	純粋な服合事のみ
367.40	370.20	こちらはダブロ役万とさせていただきます
370.20	372.08	例えば第三弦数ワンコードがね
372.08	373.64	そんな感じです
373.64	376.08	また同点は小さいに近い方が
376.08	376.88	上位となります
376.88	378.76	こちらはジャンタマシオです
378.76	382.48	そして終了時強度クリーチ棒はトップ取りとなります
382.48	385.84	こちらもジャンタマシオとなっています
385.84	386.96	また本日
386.96	388.92	本節で決定する順位に応じて
388.92	391.64	戦修に商品が重要されます
391.64	393.24	A、B、合わせて
393.24	397.48	何と総額50万円相当ご用意させていただいています
397.48	400.84	本当にスコンさんの皆様ありがとうございます
400.84	402.84	最後まで順位予熱をやらそういうから
402.84	405.32	皆さん目が話すないんで
