start_time	end_time	transcript
120.00	127.00	ん
127.00	130.00	ん
130.00	135.00	ん
135.00	141.00	ん
141.00	145.00	ん
145.00	149.00	ん
149.00	151.00	ん
151.00	156.00	ん
156.00	159.00	ん
159.00	164.00	ん
164.00	168.00	ん
168.00	172.00	ん
172.00	176.00	ん
176.00	178.00	ん
179.00	181.00	ん
181.00	183.00	ん
183.00	186.00	ん
186.00	189.00	ん
189.00	191.00	ん
191.00	194.00	ん
194.00	197.00	ん
197.00	200.00	ん
200.00	204.00	ん
204.00	207.00	ん
207.00	209.00	ん
209.00	211.00	ん
211.00	214.00	ん
214.00	217.00	ん
217.00	219.00	ん
219.00	222.00	ん
223.00	226.00	ん
226.00	229.00	ん
229.00	232.00	ん
232.00	234.00	ん
234.00	236.00	ん
236.00	238.00	ん
238.00	240.00	ん
240.00	243.00	ん
243.00	246.00	ん
246.00	248.00	ん
248.00	250.00	ん
250.00	252.00	ん
252.00	255.00	ん
255.00	257.00	ん
257.00	261.00	ん
261.00	264.00	ん
264.00	266.00	ん
266.00	271.00	ん
271.00	274.00	ん
281.00	283.00	ん
283.00	284.00	ん
284.00	287.00	ん
287.00	291.00	ん
291.00	293.00	ん
893.00	900.00	ん
900.00	905.00	ん
905.00	910.00	ん
910.00	916.00	ん
916.00	920.00	ん
920.00	922.00	ん
922.00	929.00	ん
929.00	934.00	ん
934.00	941.00	ん
941.00	946.00	ん
946.00	956.00	ん
956.00	965.00	ん
965.00	969.00	ん
969.00	972.00	ん
972.00	975.00	ん
975.00	985.00	ん
985.00	994.00	ん
1005.00	1008.00	ん
1008.00	1010.00	ん
1010.00	1012.00	ん
1012.00	1015.00	ん
1015.00	1017.00	ん
1017.00	1020.00	ん
1020.00	1023.00	ん
1023.00	1024.00	ん
1024.00	1027.00	ん
1027.00	1030.00	ん
1030.00	1033.00	ん
1033.00	1043.00	ん
1043.00	1052.00	ん
1052.00	1053.00	ん
1053.00	1056.00	ん
1056.00	1058.00	ん
1058.00	1060.00	ん
1060.00	1061.00	ん
1061.00	1063.00	ん
1063.00	1064.00	ん
1064.00	1073.00	ん
1073.00	1076.00	ん
1076.00	1080.00	ん
