start_time	end_time	transcript
480.00	487.00	ん
487.00	492.00	ん
492.00	499.00	ん
499.00	504.00	ん
504.00	508.00	ん
508.00	515.00	ん
515.00	520.00	ん
520.00	526.00	ん
526.00	531.00	ん
531.00	535.00	ん
535.00	542.00	ん
542.00	547.00	ん
547.00	554.00	ん
554.00	560.00	ん
560.00	564.00	ん
564.00	571.00	ん
571.00	576.00	ん
576.00	583.00	ん
583.00	587.00	ん
587.00	591.00	ん
591.00	593.00	ん
593.00	595.00	ん
595.00	600.00	ん
600.00	603.00	ん
603.00	608.00	ん
608.00	612.00	ん
612.00	616.00	ん
616.00	620.00	ん
620.00	622.00	ん
623.00	625.00	ん
625.00	630.00	ん
630.00	633.00	ん
633.00	637.00	ん
637.00	641.00	ん
641.00	645.00	ん
645.00	649.00	ん
649.00	652.00	ん
652.00	654.00	ん
654.00	656.00	ん
656.00	659.00	ん
659.00	662.00	ん
662.00	664.00	ん
664.00	667.00	ん
667.00	670.00	ん
670.00	673.00	ん
673.00	677.00	ん
677.00	680.00	ん
680.00	682.00	ん
682.00	684.00	ん
684.00	687.00	ん
687.00	690.00	ん
690.00	692.00	ん
692.00	695.00	ん
695.00	698.00	ん
698.00	700.00	ん
700.00	703.00	ん
703.00	706.00	ん
706.00	708.00	ん
708.00	710.00	ん
710.00	712.00	ん
712.00	715.00	ん
715.00	718.00	ん
718.00	720.00	ん
720.00	723.00	ん
723.00	726.00	ん
726.00	728.00	ん
728.00	731.00	ん
731.00	734.00	ん
734.00	737.00	ん
737.00	739.00	ん
739.00	741.00	ん
741.00	744.00	ん
744.00	747.00	ん
747.00	749.00	ん
749.00	752.00	ん
752.00	755.00	ん
755.00	758.00	ん
758.00	762.00	ん
762.00	764.00	ん
764.00	766.00	ん
766.00	768.00	ん
768.00	770.00	ん
770.00	773.00	ん
773.00	775.00	ん
775.00	778.00	ん
778.00	781.00	ん
781.00	784.00	ん
784.00	787.00	ん
787.00	791.00	ん
791.00	794.00	ん
794.00	795.00	ん
795.00	797.00	ん
797.00	799.00	ん
799.00	801.00	ん
825.00	827.00	ん
827.00	835.00	ん
835.00	837.00	ん
840.00	843.00	ん
843.00	845.00	ん
845.00	848.00	ん
848.00	852.00	ん
852.00	854.00	ん
944.00	947.40	できあがる 動かせのは私を
947.40	951.00	追いつめて笑う 強いのをもうかくのさ
952.00	957.60	今 欲しい現実は
958.60	964.20	君の二度と無い 完璧な笑顔だけ
964.20	970.20	私 君に向ける この目に言える位置
970.20	976.70	揚げ抜けては進む 宙でなって突きちゃう
976.70	983.20	どうも 済む私 私だけのものさ
983.20	989.70	現実より早く 結局の流行きてるよ
1001.20	1005.20	レイチャドバスプロツは
1005.20	1008.20	222さん セカンドシーズン 本線でいつの
