start_time	end_time	transcript
0.00	7.00	ん
7.00	12.00	ん
12.00	18.00	ん
18.00	23.00	ん
23.00	27.00	ん
27.00	29.00	ん
29.00	32.00	ん
32.00	35.00	ん
35.00	38.00	ん
38.00	41.00	ん
41.00	44.00	ん
44.00	47.00	ん
47.00	50.00	ん
50.00	54.00	ん
54.00	57.00	ん
57.00	59.00	ん
59.00	61.00	ん
61.00	64.00	ん
64.00	67.00	ん
67.00	69.00	ん
69.00	72.00	ん
72.00	75.00	ん
75.00	78.00	ん
79.00	82.00	ん
82.00	85.00	ん
85.00	87.00	ん
87.00	89.00	ん
89.00	92.00	ん
92.00	95.00	ん
95.00	97.00	ん
97.00	100.00	ん
100.00	103.00	ん
103.00	105.00	ん
105.00	108.00	ん
108.00	111.00	ん
111.00	114.00	ん
114.00	116.00	ん
116.00	118.00	ん
118.00	121.00	ん
121.00	124.00	ん
124.00	126.00	ん
126.00	129.00	ん
129.00	132.00	ん
132.00	135.00	ん
135.00	139.00	ん
139.00	141.00	ん
141.00	143.00	ん
143.00	145.00	ん
145.00	147.00	ん
147.00	150.00	ん
150.00	152.00	ん
152.00	155.00	ん
155.00	158.00	ん
158.00	161.00	ん
161.00	164.00	ん
165.00	168.00	ん
168.00	170.00	ん
173.00	175.00	ん
203.00	205.00	ん
205.00	207.00	ん
207.00	210.00	ん
210.00	213.00	ん
213.00	216.00	ん
216.00	219.00	ん
219.00	222.00	ん
222.00	226.00	ん
226.00	229.00	ん
229.00	232.00	ん
232.00	234.00	ん
234.00	236.00	ん
236.00	239.00	ん
239.00	242.00	ん
242.00	244.00	ん
244.00	247.00	ん
247.00	250.00	ん
250.00	252.00	ん
252.00	255.00	ん
255.00	258.00	ん
258.00	261.00	ん
261.00	263.00	ん
263.00	266.00	ん
266.00	268.00	ん
268.00	270.00	ん
270.00	273.00	ん
273.00	276.00	ん
276.00	280.00	ん
280.00	284.00	ん
284.00	287.00	ん
287.00	290.00	ん
290.00	290.94	ん
470.94	477.94	ん
477.94	482.94	ん
482.94	488.94	ん
488.94	494.94	ん
494.94	499.94	ん
499.94	506.94	ん
506.94	511.94	ん
511.94	517.94	ん
517.94	522.94	ん
522.94	526.94	ん
526.94	533.94	ん
533.94	538.94	ん
538.94	545.94	ん
545.94	551.94	ん
551.94	555.94	ん
556.94	563.94	ん
563.94	568.94	ん
568.94	574.94	ん
574.94	579.94	ん
579.94	583.94	ん
583.94	590.94	ん
590.94	593.94	ん
593.94	598.94	ん
598.94	603.94	ん
603.94	608.94	ん
608.94	612.94	ん
612.94	619.94	ん
619.94	622.94	ん
622.94	627.94	ん
627.94	631.94	ん
631.94	635.94	ん
642.94	649.94	ん
649.94	652.94	ん
652.94	657.94	ん
657.94	661.94	ん
661.94	667.94	ん
667.94	670.94	ん
670.94	677.94	ん
677.94	680.94	ん
680.94	685.94	ん
685.94	689.94	ん
689.94	695.94	ん
695.94	698.94	ん
698.94	705.94	ん
705.94	708.94	ん
708.94	713.94	ん
713.94	717.94	ん
717.94	723.94	ん
723.94	727.94	ん
727.94	734.94	ん
734.94	737.94	ん
737.94	742.94	ん
742.94	746.94	ん
746.94	752.94	ん
752.94	756.94	ん
757.94	764.94	ん
764.94	767.94	ん
767.94	772.94	ん
772.94	776.94	ん
776.94	782.94	ん
782.94	786.94	ん
786.94	793.94	ん
793.94	796.94	ん
796.94	801.94	ん
801.94	805.94	ん
805.94	811.94	ん
811.94	814.94	ん
814.94	821.94	ん
821.94	824.94	ん
824.94	829.94	ん
829.94	832.94	ん
832.94	839.94	ん
839.94	842.94	ん
842.94	849.94	ん
849.94	852.94	ん
852.94	857.94	ん
857.94	861.94	ん
861.94	865.94	ん
865.94	869.94	ん
869.94	876.94	ん
876.94	879.94	ん
879.94	884.94	ん
884.94	888.94	ん
888.94	892.94	ん
892.94	896.94	ん
896.94	903.94	ん
903.94	906.94	ん
906.94	911.94	ん
911.94	914.94	ん
914.94	918.94	ん
918.94	921.94	ん
921.94	924.94	ん
924.94	931.94	ん
931.94	934.94	ん
934.94	937.94	ん
937.94	938.94	ん
938.94	941.94	ん
941.94	944.94	ん
944.94	949.94	ん
949.94	952.94	ん
952.94	959.94	ん
959.94	962.94	ん
962.94	966.94	ん
966.94	969.94	ん
969.94	971.94	ん
971.94	972.94	ん
972.94	977.94	ん
977.94	980.94	ん
980.94	990.94	ん
990.94	995.94	ん
1010.94	1020.94	ん
1020.94	1022.94	ん
1022.94	1025.94	ん
1025.94	1028.94	ん
1028.94	1029.94	ん
1029.94	1032.94	ん
1032.94	1035.94	ん
1035.94	1036.94	ん
1036.94	1037.94	ん
1037.94	1038.94	ん
1038.94	1039.94	ん
1039.94	1041.94	ん
1041.94	1042.94	ん
1042.94	1044.94	ん
1044.94	1045.94	ん
1045.94	1047.94	ん
1047.94	1049.94	ん
1049.94	1052.94	ん
1052.94	1053.94	ん
1053.94	1056.94	ん
1056.94	1058.94	ん
1058.94	1061.94	ん
1061.94	1064.94	ん
1064.94	1065.94	ん
1065.94	1066.94	ん
1066.94	1068.94	ん
1068.94	1074.46	が方よくかなというか同じような力が増えていたなっていう印象なんですが
1074.46	1081.46	どうしてもこの時間がないやかで 出口選んでいくってなるとちょっと難しくなってきますよね
1081.46	1085.90	どうしてもこういう構築が変えづらいとか 単純になんですけど
1085.90	1091.42	メタゲームっていうのはやっぱり早って それを対策してまたっていうふうにどの動いていくものなので
