start_time	end_time	transcript
0.00	7.00	ん
7.00	12.00	ん
12.00	18.00	ん
18.00	23.00	ん
23.00	27.00	ん
27.00	29.00	ん
29.00	36.00	ん
36.00	39.00	ん
39.00	44.00	ん
44.00	49.00	ん
49.00	54.00	ん
54.00	58.00	ん
59.00	61.00	ん
61.00	66.00	ん
66.00	69.00	ん
69.00	73.00	ん
73.00	78.00	ん
78.00	82.00	ん
82.00	86.00	ん
86.00	88.00	ん
89.00	91.00	ん
91.00	93.00	ん
93.00	96.00	ん
96.00	99.00	ん
99.00	101.00	ん
101.00	104.00	ん
104.00	107.00	ん
107.00	110.00	ん
110.00	114.00	ん
114.00	117.00	ん
117.00	119.00	ん
119.00	121.00	ん
121.00	124.00	ん
124.00	127.00	ん
127.00	129.00	ん
129.00	132.00	ん
132.00	135.00	ん
135.00	138.00	ん
139.00	142.00	ん
142.00	144.00	ん
144.00	146.00	ん
147.00	149.00	ん
149.00	151.00	ん
151.00	154.00	ん
154.00	156.00	ん
156.00	159.00	ん
159.00	162.00	ん
162.00	165.00	ん
165.00	168.00	ん
168.00	172.00	ん
172.00	174.00	ん
177.00	187.00	ん
187.00	189.00	ん
189.00	192.00	ん
192.00	195.00	ん
195.00	197.00	ん
197.00	200.00	ん
200.00	203.00	ん
203.00	206.00	ん
206.00	208.00	ん
208.00	210.00	ん
210.00	213.00	ん
213.00	216.00	ん
216.00	218.00	ん
218.00	221.00	ん
221.00	224.00	ん
224.00	226.00	ん
226.00	229.00	ん
229.00	232.00	ん
232.00	235.00	ん
235.00	237.00	ん
237.00	239.00	ん
239.00	242.00	ん
242.00	244.00	ん
244.00	247.00	ん
247.00	250.00	ん
250.00	253.00	ん
253.00	256.00	ん
256.00	260.00	ん
260.00	263.00	ん
263.00	265.00	ん
265.00	271.00	ん
271.00	273.00	ん
273.00	275.00	ん
275.00	277.00	ん
277.00	280.00	ん
280.00	283.00	ん
283.00	285.00	ん
285.00	287.00	ん
287.00	290.00	ん
290.00	292.00	ん
472.00	479.00	ん
479.00	484.00	ん
484.00	487.00	ん
487.00	492.00	ん
492.00	497.00	ん
497.00	501.00	ん
501.00	504.00	ん
504.00	507.00	ん
507.00	510.00	ん
510.00	513.00	ん
513.00	516.00	ん
516.00	519.00	ん
519.00	522.00	ん
522.00	526.00	ん
526.00	529.00	ん
529.00	531.00	ん
531.00	533.00	ん
533.00	536.00	ん
536.00	539.00	ん
539.00	541.00	ん
541.00	544.00	ん
544.00	547.00	ん
547.00	550.00	ん
551.00	554.00	ん
554.00	557.00	ん
557.00	559.00	ん
559.00	561.00	ん
561.00	564.00	ん
564.00	567.00	ん
567.00	569.00	ん
569.00	572.00	ん
572.00	575.00	ん
575.00	577.00	ん
577.00	580.00	ん
580.00	583.00	ん
583.00	586.00	ん
586.00	588.00	ん
588.00	590.00	ん
590.00	593.00	ん
593.00	596.00	ん
596.00	598.00	ん
598.00	601.00	ん
601.00	604.00	ん
604.00	606.00	ん
606.00	609.00	ん
609.00	612.00	ん
612.00	615.00	ん
615.00	617.00	ん
617.00	619.00	ん
619.00	622.00	ん
622.00	625.00	ん
625.00	627.00	ん
627.00	630.00	ん
630.00	633.00	ん
633.00	635.00	ん
635.00	638.00	ん
638.00	641.00	ん
641.00	643.00	ん
643.00	645.00	ん
645.00	647.00	ん
647.00	650.00	ん
650.00	653.00	ん
653.00	656.00	ん
656.00	659.00	ん
659.00	662.00	ん
662.00	665.00	ん
665.00	669.00	ん
669.00	671.00	ん
671.00	672.00	ん
672.00	674.00	ん
674.00	676.00	ん
676.00	679.00	ん
679.00	682.00	ん
682.00	684.00	ん
684.00	687.00	ん
687.00	690.00	ん
690.00	692.00	ん
692.00	695.00	ん
695.00	698.00	ん
698.00	701.00	ん
701.00	703.00	ん
703.00	711.00	ん
711.00	712.00	ん
712.00	715.00	ん
715.00	716.50	ん
716.50	718.00	ん
718.00	718.50	ん
718.50	721.50	ん
721.50	724.00	ん
724.00	726.00	ん
726.00	729.00	ん
729.00	730.50	ん
730.50	732.50	2
732.50	734.50	2
734.50	736.50	2
736.50	738.50	3
738.50	740.50	2
740.50	742.50	3
742.50	744.50	4
744.50	746.50	4
746.50	748.50	5
748.50	750.50	5
750.50	752.50	5
752.50	754.50	5
754.50	756.50	5
756.50	758.50	5
758.50	759.50	5
759.50	761.50	5
761.50	763.50	5
763.50	765.50	5
765.50	767.50	5
767.50	769.50	5
769.50	771.50	5
771.50	773.50	5
773.50	775.50	5
775.50	777.50	5
777.50	779.50	5
779.50	781.50	5
781.50	783.50	5
783.50	785.50	5
785.50	787.50	5
787.50	788.50	5
788.50	790.50	5
790.50	792.50	5
792.50	794.50	5
794.50	796.50	5
818.50	820.50	5
820.50	822.50	5
822.50	824.50	5
824.50	826.50	5
826.50	828.50	5
828.50	830.50	5
830.50	832.50	5
832.50	834.50	5
834.50	836.50	5
836.50	838.50	5
838.50	840.50	5
840.50	842.50	5
842.50	844.50	5
844.50	846.50	5
846.50	847.50	5
848.50	850.50	5
850.50	852.50	5
852.50	854.50	5
854.50	856.50	5
856.50	858.50	5
858.50	860.50	5
860.50	862.50	5
862.50	864.50	5
864.50	866.50	5
866.50	868.50	5
868.50	870.50	5
870.50	872.50	5
872.50	874.50	5
874.50	876.50	5
876.50	877.50	5
878.50	880.50	5
880.50	882.50	5
882.50	884.50	5
884.50	886.50	5
886.50	888.50	5
888.50	890.50	5
890.50	892.50	5
