start_time	end_time	transcript
270.00	277.00	ん
277.00	282.00	ん
282.00	289.00	ん
289.00	294.00	ん
294.00	297.00	ん
297.00	299.00	ん
299.00	302.00	ん
302.00	305.00	ん
305.00	308.00	ん
308.00	311.00	ん
311.00	314.00	ん
314.00	317.00	ん
317.00	320.00	ん
320.00	323.00	ん
323.00	326.00	ん
326.00	328.00	ん
329.00	331.00	ん
331.00	333.00	ん
333.00	336.00	ん
336.00	339.00	ん
339.00	341.00	ん
341.00	344.00	ん
344.00	347.00	ん
347.00	349.00	ん
349.00	352.00	ん
352.00	355.00	ん
355.00	358.00	ん
358.00	360.00	ん
360.00	362.00	ん
362.00	365.00	ん
365.00	367.00	ん
367.00	370.00	ん
370.00	373.00	ん
373.00	376.00	ん
376.00	378.00	ん
378.00	381.00	ん
381.00	384.00	ん
384.00	387.00	ん
387.00	389.00	ん
389.00	391.00	ん
391.00	394.00	ん
394.00	397.00	ん
397.00	399.00	ん
399.00	402.00	ん
402.00	405.00	ん
405.00	407.00	ん
407.00	410.00	ん
410.00	413.00	ん
413.00	416.00	ん
416.00	418.00	ん
418.00	420.00	ん
420.00	423.00	ん
423.00	426.00	ん
426.00	429.00	ん
429.00	431.00	ん
431.00	434.00	ん
434.00	436.00	ん
436.00	438.00	ん
438.00	442.00	ん
442.00	445.00	ん
475.00	482.00	ん
482.00	487.00	ん
487.00	493.00	ん
493.00	499.00	ん
499.00	504.00	ん
504.00	511.00	ん
511.00	516.00	ん
516.00	522.00	ん
522.00	529.00	ん
529.00	533.00	ん
534.00	541.00	ん
541.00	546.00	ん
546.00	553.00	ん
553.00	559.00	ん
559.00	563.00	ん
564.00	571.00	ん
571.00	574.00	ん
574.00	579.00	ん
579.00	583.00	ん
583.00	589.00	ん
589.00	593.00	ん
594.00	601.00	ん
601.00	604.00	ん
604.00	609.00	ん
609.00	613.00	ん
613.00	619.00	ん
619.00	623.00	ん
623.00	630.00	ん
630.00	633.00	ん
633.00	638.00	ん
638.00	642.00	ん
642.00	648.00	ん
648.00	652.00	ん
652.00	659.00	ん
659.00	662.00	ん
662.00	667.00	ん
667.00	671.00	ん
671.00	677.00	ん
677.00	681.00	ん
682.00	689.00	ん
689.00	692.00	ん
692.00	697.00	ん
697.00	701.00	ん
701.00	707.00	ん
707.00	710.00	ん
710.00	717.00	ん
717.00	720.00	ん
720.00	725.00	ん
725.00	729.00	ん
729.00	735.00	ん
735.00	738.00	ん
738.00	745.00	ん
745.00	748.00	ん
748.00	753.00	ん
753.00	757.00	ん
757.00	763.00	ん
763.00	766.00	ん
766.00	773.00	ん
773.00	776.00	ん
776.00	781.00	ん
781.00	784.00	ん
784.00	788.00	ん
788.00	793.00	ん
796.00	806.00	ん
806.00	815.00	ん
815.00	821.00	ん
821.00	823.00	ん
823.00	825.00	ん
825.00	832.00	ん
832.00	835.00	ん
835.00	840.00	ん
840.00	844.00	ん
844.00	848.00	ん
848.00	852.00	ん
852.00	854.00	ん
855.00	865.00	ん
865.00	874.00	ん
874.00	877.00	ん
877.00	880.00	ん
880.00	882.00	ん
882.00	884.00	ん
884.00	886.00	ん
886.00	891.00	ん
891.00	894.00	ん
894.00	897.00	ん
897.00	901.00	ん
901.00	904.00	ん
904.00	907.00	ん
907.00	910.00	ん
910.00	913.00	ん
914.00	921.00	ん
944.00	954.00	ん
954.00	957.00	ん
957.00	962.00	ん
962.00	964.00	ん
964.00	967.00	ん
967.00	970.00	ん
970.00	973.00	ん
973.00	975.00	ん
975.00	980.00	ん
980.00	983.00	ん
983.00	986.00	ん
986.00	990.00	ん
990.00	993.00	ん
993.00	998.00	ん
998.00	1001.00	ネーチャドーバスプロツアー2 2 2 3
1001.00	1004.00	フォースシーズン本線のデーアの模様を届けいたします
1004.00	1006.00	生配信にいてお届けいたします
1006.00	1007.00	エジキョータントします
1007.00	1008.00	シライバコースケレストぞ
1008.00	1009.00	よろしくお願いします
1009.00	1011.00	解説は丸さんです
1011.00	1012.00	はい
1012.00	1013.00	本日解説ずつ止めます
1013.00	1014.00	丸でよろしくお願いします
1014.00	1015.00	よろしくお願いします
1015.00	1017.00	丸さんよいよプロツアーもね
1017.00	1018.00	そろそろ楽許に入ってくるということで
1018.00	1020.00	もう残りに少なくなりましたね
1020.00	1021.00	そうですね
1021.00	1022.00	フォースシーズン
1022.00	1024.00	それも本線という形になりますので
1024.00	1025.00	残すところ本当に
1025.00	1027.00	今日アスを終えてしまうと
1027.00	1029.00	いよいよ最終のフィフスシーズン
1029.00	1031.00	でこう残すのみと
1031.00	1032.00	なってくるということで
1032.00	1033.00	いよいよね
1033.00	1034.00	各プロチームを追い込みに入って
1034.00	1035.00	入っているようなところかと思います
1035.00	1036.00	はい
1036.00	1038.00	それではそのレーシャドーバスプロツアーの
1038.00	1039.00	全体スケジュールから見ていきましょう
1039.00	1040.00	こちらです
1040.00	1042.00	さあ、ということで
1042.00	1044.00	2022年の5月から12月には
1044.00	1046.00	経って全5シーズンを実施しております
1046.00	1048.00	最終上位2チームが
1048.00	1051.00	2023年9月に開催を定のプロツアー
1051.00	1052.00	チャンピオシェプリで
1052.00	1055.00	面間王者の座を予済います
1055.00	1056.00	それらに優勝チームには
1056.00	1057.00	インセンティブとして
1057.00	1060.00	1500万円が与えられます
1060.00	1062.00	続きまして
1062.00	1063.00	本線のルールです
1063.00	1065.00	ノテーションは
1065.00	1066.00	ビーオーバイブにいて
1066.00	1067.00	ご覧のとなるメントで
1067.00	1068.00	表そうでいます
1068.00	1069.00	予済に1位通感の選手は
1069.00	1071.00	アドバンテージが与えられて
1071.00	1073.00	ランド2カウンの必要になります
1073.00	1074.00	ツビックはビーオー3に
1074.00	1075.00	てご覧のとなるメントで
1075.00	1076.00	表そうでいます
1076.00	1078.00	予済に1位と2位通感の選手に
1078.00	1079.00	アドバンテージが与えられます
1079.00	1081.00	最後にポイントです
1081.00	1085.00	最後のポイントです 本線は最終獣によってご覧のポイントが
1085.00	1087.50	付用されます これらご静分のポイントを
1087.50	1092.00	が産し最終上位1チームがボートで説明した フロッツはチャンピョンシップに
1092.00	1097.00	進出することができます ということで良いよねこの2チームが
1097.00	1101.30	もう次の5スチーズンで決まるというね はいところに来ています
1101.30	1105.30	ゲインドルテープソントバンクがかなり オークスが1つ抜けていて
1105.30	1109.30	そうですね あのー2アラソイもう1つのワクをかけて
1109.30	1112.60	かなりオークのチームを戦うかなと いいところになりそうですね
1112.60	1116.60	やはり1回の本線まで出場して 撮影上がっていくと
1116.60	1119.10	相当なポイントを獲得することができますので
1119.10	1122.80	まだまだ2の決定というところに 関してはかなりのチームが
1122.80	1126.30	絡んでくるかなと思います なのでそういった意味では
1126.30	1129.60	今日明日のこの発生ですね ここでもどのチームが
1129.60	1132.80	特にこれまでちょっとあまり本線に出て こんな勝手をなせる人たちも
1132.80	1135.80	今回出てきていますので どういった選手が自分のチームに
1135.80	1138.80	ポイントを持って帰るか ここも1つ大きなみ所になってきます
1138.90	1143.30	本シューズのサイコルを98ポイント 全て取り切ると撮ることができるので
1143.30	1146.60	まだ今の現状再開の例は何も十分可能性があるという
1146.60	1148.60	そうですね 本当に目標ですね
1148.60	1151.60	ということでプロツは2人2さんも収盤選手ということで
1151.60	1156.60	ここでMVPとコントリビューションションについてご紹介いたします
1157.60	1162.80	さあまずはMVPでサチーム前進の中から 皆様のツイッター投票と運営の選手を
1162.80	1167.30	出てRSPT2人2さんのMVPが決まります
1167.30	1172.30	RSPTMVPを発したくつけてMVPだと思う 選手をついておしてください
1172.30	1176.30	理由も記載していただけたら 番組内でピックアップしてご紹介させていただきます
1177.80	1181.80	さあこちらは同じみのMVPとなっております
1182.30	1186.80	さあ投票機関なんですが12月のよっかり一応BPFシーズンの予選終了時から
1186.80	1191.30	12月17日に一応B本線D1の終了時までとなります
1191.30	1194.30	記載中たくさんの投票お待ちしております
1194.30	1200.30	そしてコントリビューションションはRSPT2人2さんの人近くだいに 貢献者選手に与えられます
1200.30	1206.80	今までのMVPにモスタイプレプシーブプレイに近いような 形になっております
1206.80	1209.30	こちらは運営の表現によって決定されます
1209.30	1212.30	フィンスシーズンの本線終了時に行われで表彰式にいて
1212.30	1216.80	MVPとコントリビューションションの発表行いますので楽しみにしていただきください
1216.80	1220.30	さあということでMVPのいろんな勝負は
1220.30	1223.30	誰が撮るかというのも われわれ楽しみですし
1223.30	1224.30	そうですね
1224.30	1229.30	MVPはこれまで2ピックだとかなりの数ね
1229.30	1233.30	フォレスト選手が勝負できているというのが いいと思います
1233.30	1239.30	今回に関してはかなりここを数接っていったところで
1239.30	1243.30	フォレスト選手が超勝利に戻して今回は 確かに貢献を進めているわけです
1243.30	1247.30	一方で他の選手たちの活躍というのも 2ピックがかなり目覚ましい
1247.30	1250.30	そんなアプロツアーになったかなと思いますので
1250.30	1255.30	今回MVPの選手というところ一つ注目になってくるのかなと思います
1255.30	1256.30	そうですね全止です
1256.30	1262.30	2人1人のシーズンでいうとフォレストさんで コファンが共和選手で2つになっていって
1262.30	1266.30	MIPのリグゼン2連場しているなので
1266.30	1269.30	今回のコントリビューションションというところに関しても
1269.30	1272.30	果たしてリグゼンが3つの名前が開発になるのです
1272.30	1274.30	3連場目指していくのか
1274.30	1276.30	また新しいビューションですね
1276.30	1277.30	はい
1277.30	1280.30	それではここでゲームのチームポイントを見ていきましょう
1280.30	1284.30	さあ良いよ上位にチームが見えてきたというところなんですが
1284.30	1289.30	最高の伝えしたアソフトワンコークスゲーミングが134人の頭の受けた格好になっております
1289.30	1294.30	前半からかなり多くの選手が本選に住んでいたというオークスになっています
1294.30	1296.30	そして暗いついているのがアクシズなんですが
1296.30	1301.30	1ポイントさでG by Gさらには大きなさはありません79ポイントで
1301.30	1307.30	ユーレトネーションなお顔ジャベビースター横浜へ貰りのスイオシモトゲーミングレバンがサポロです
1307.30	1311.30	1見ずっと40ポイントさ8以下の2までの間にあるんですけど
1311.30	1317.30	1週で1シーズンで68ポイントとることも可能になっているということになっております
1317.30	1322.30	しかもレバンが今回リュー選手とハール選手2人2部分で出てますので
1322.30	1325.30	この2人に相当かかってくるというね
1325.30	1326.30	そうですね
1326.30	1331.30	1をその2を目指せるという事は当然あるんですけど
1331.30	1336.30	以前として状況首の川1枚があることは変わらないので
1336.30	1343.30	まずは今日アスの本選ここでしっかりと初速選手が勝っていくというところが1つ重要になっています
1343.30	1346.30	両方のレブモンで出所する気ぐらいじゃないんですね
1346.30	1348.30	最大68ポイントというんですけど
1348.30	1351.30	当然他のチームもポイントを持っていきますので
1351.30	1356.30	そういうこと考えた時になるべくこのポースシーズンで少しでもさを自事見ておきたい
1356.30	1358.30	そんなレバンがサポロかと思います
1358.30	1360.30	3のグループ来に行って最終点でね
1360.30	1361.30	そうですね
1361.30	1363.30	そこから本選の組み合わせについてみていきたいと思います
1363.30	1367.30	まず4選終了時点の各グループの最終順位です
1369.30	1371.30	さあご覧のような最終順位
1371.30	1376.30	ローテーションのグループA、B、そして2ピックの順位というふうになっております
