start_time	end_time	transcript
180.00	187.00	ん
187.00	192.00	ん
192.00	198.00	ん
198.00	204.00	ん
204.00	209.00	ん
209.00	216.00	ん
216.00	221.00	ん
221.00	227.00	ん
227.00	233.00	ん
233.00	238.00	ん
238.00	245.00	ん
245.00	248.00	ん
248.00	253.00	ん
253.00	257.00	ん
257.00	262.00	ん
262.00	266.00	ん
266.00	273.00	ん
273.00	276.00	ん
276.00	281.00	ん
281.00	285.00	ん
285.00	289.00	ん
289.00	293.00	ん
293.00	295.00	ん
296.00	303.00	ん
303.00	306.00	ん
306.00	311.00	ん
311.00	315.00	ん
315.00	320.00	ん
320.00	324.00	ん
324.00	331.00	ん
331.00	334.00	ん
334.00	339.00	ん
339.00	343.00	ん
343.00	347.00	ん
347.00	351.00	ん
351.00	361.00	ん
361.00	368.00	ん
368.00	371.00	ん
371.00	376.00	ん
376.00	379.00	ん
379.00	386.00	ん
386.00	389.00	ん
389.00	394.00	ん
394.00	399.00	ん
399.00	404.00	ん
404.00	408.00	ん
408.00	418.00	ん
418.00	421.00	ん
421.00	426.00	ん
426.00	430.00	ん
430.00	434.00	ん
434.00	437.00	ん
437.00	447.00	ん
447.00	450.00	ん
450.00	455.00	ん
455.00	459.00	ん
459.00	463.00	ん
463.00	466.00	ん
467.00	477.00	ん
477.00	480.00	ん
480.00	485.00	ん
485.00	489.00	ん
489.00	493.00	ん
493.00	496.00	ん
496.00	506.00	ん
506.00	508.00	ん
508.00	511.00	ん
511.00	514.00	ん
514.00	517.00	ん
517.00	521.00	ん
521.00	524.00	ん
524.00	534.00	ん
534.00	536.00	ん
536.00	539.00	ん
539.00	542.00	ん
542.00	544.00	ん
544.00	547.00	ん
547.00	550.00	ん
550.00	553.00	ん
553.00	556.00	ん
556.00	560.00	ん
560.00	563.00	ん
563.00	566.00	ん
566.00	569.00	ん
569.00	572.00	ん
572.00	576.00	ん
576.00	579.00	ん
579.00	582.00	ん
582.00	584.00	ん
584.00	587.00	ん
587.00	589.00	ん
589.00	592.00	ん
592.00	595.00	ん
595.00	598.00	ん
598.00	601.00	ん
601.00	605.00	ん
605.00	608.00	ん
608.00	611.00	ん
611.00	613.00	ん
613.00	615.00	ん
615.00	618.00	ん
618.00	621.00	ん
621.00	623.00	ん
623.00	626.00	ん
626.00	629.00	ん
629.00	631.00	ん
631.00	634.00	ん
634.00	637.00	ん
637.00	640.00	ん
640.00	643.00	ん
670.00	673.00	ん
673.00	678.00	ん
679.00	683.00	ん
683.00	688.00	ん
688.00	691.00	ん
691.00	695.00	ん
695.00	699.00	ん
939.00	942.58	で戦い行き方で嫌がる
942.58	944.36	どうかせんの私を
944.36	946.56	追いつめて笑う強いのを
946.56	948.00	もう勝つのさ
949.04	954.80	今欲しい現実は
955.60	958.84	君の二度と
958.84	961.28	何が完璧な笑顔だけ
961.28	964.08	私君に無事
964.08	967.12	この目に見えるうち
967.40	970.40	描け抜けては進む
970.40	973.76	宙で出て突きちゃう
973.76	976.88	今日もあたし
976.88	980.16	私だけのものさ
980.16	983.40	現実より早く
983.40	986.76	結局の流行きてるよ
998.12	1002.12	皆さんこんにちは
1002.12	1004.12	レイリーシャドーバースプロッツアー
1004.12	1006.12	ニニニーさんサードシーズン
1006.12	1007.12	本戦デーワンの模様
1007.12	1009.12	生配信にてお届けします
1009.12	1010.12	実況はスタタイキ
1010.12	1011.12	そして解説はマルサンです
1011.12	1012.12	よろしくお願いします
1012.12	1014.12	よろしくお願いします
1014.12	1017.12	環境も最終版ということで
1017.12	1019.12	レイレンという通常レスト
1019.12	1021.12	大体構を突きを見せてくるかと思うんですが
1021.12	1023.12	できてもしく見れていますが
1023.12	1025.12	本当にあわたらしいというか
1025.12	1026.12	忙しくなりましたよね
1026.12	1027.12	そうですね
1027.12	1029.12	かなり新環境というか
1029.12	1031.12	大力変更がもしかしたら入ったのかな
1031.12	1034.12	というくらいには環境が大きく変わりましたね
1034.12	1035.12	はい
1035.12	1036.12	やはり
1036.12	1038.12	まず予選の段階での
1038.12	1040.12	ラティカエルフの増加と
1040.12	1042.12	いうところから合いまって
1042.12	1045.12	一気にそのラティカエルフを意識したような
1045.12	1046.12	そういったベーオファイブの
1046.12	1048.12	で基礎出身に今回もなっていますよ
1048.12	1050.12	我々でもちょっと予想がつきにくいというか
1050.12	1052.12	どんな展開になっていくのか
1052.12	1053.12	非常に楽しみです
1053.12	1055.12	まずはレイリーシャドーバースプロッツアー
1055.12	1057.12	デスケジュールを紹介いたします
1059.12	1062.12	2020年5月から12月に
1062.12	1064.12	わたって全5シーズンを実施していきます
1064.12	1066.12	最終上位2チームが
1066.12	1068.12	2013年1月に開催予定の
1068.12	1069.12	プロッツアーチャンピオンシップに
1069.12	1071.12	て年間王者の座を表すおります
1072.12	1073.12	さらに優勝チームには
1073.12	1074.12	インステンティブとして
1074.12	1076.12	1500万円が与えられます
1078.12	1080.12	続きまして本戦のルールをご説明いたします
1080.12	1082.12	ローティションは
1082.12	1084.12	B-O-5にてご覧のとなめんとで
1084.12	1085.12	表現したいです
1085.12	1087.12	40001位2日の戦士は
1087.12	1089.12	アドバンテージが与えられています
1090.12	1092.12	2ピックはB-O-3にて
1092.12	1093.12	ご覧のとなめんとで
1093.12	1094.12	表現していきます
1094.12	1096.12	40001位と2位の
1096.12	1097.12	2日の戦士に
1097.12	1099.12	アドバンテージが与えられています
1100.12	1101.12	最後にポイントです
1102.12	1104.12	本戦は最終順位によって
1104.12	1106.12	ご覧のポイントが不要されます
1106.12	1108.12	これら5シーズン分のポイントを
1108.12	1109.12	ガッサンし
1109.12	1110.12	最終上位2チームが
1110.12	1112.12	冒頭でご説明いたしました
1112.12	1114.12	今度はチャンピオンシップに進出します
1116.12	1117.12	全体が
1117.12	1118.12	5のうちの3ということで
1118.12	1119.12	ちょっとずつ
1119.12	1121.12	輪郭も見えてきましたか
1121.12	1122.12	そうですね
1122.12	1123.12	しかも
1123.12	1124.12	3のうちの
1124.12	1125.12	今日
1125.12	1126.12	そして
1126.12	1127.12	明日でこの
1127.12	1128.12	本戦の方ですね
1128.12	1129.12	特に
1129.12	1130.12	大きなポイントが
1130.12	1131.12	ご覧のラウンドというところまで
1131.12	1132.12	終わっていきますので
1132.12	1134.12	よいよ
1134.12	1135.12	かなりちょっとここまでで
1135.12	1137.12	でおくれがちになってしまっているような
1137.12	1138.12	チームにしてみれば
1138.12	1139.12	今回こうして
1139.12	1141.12	本戦ラウンドに戦衆を
1141.12	1142.12	お送り込めた
1142.12	1143.12	G-BG
1143.12	1144.12	そして
1144.12	1145.12	横浜F-Marryです
1145.12	1146.12	こういったチーム
1146.12	1147.12	名古屋オジャベビスターも
1147.12	1148.12	そうですね
1148.12	1149.12	にとっては
1149.12	1150.12	ここが
1150.12	1151.12	一気に
1151.12	1152.12	上位前に暗いついていく
1152.12	1153.12	本当に
1153.12	1154.12	ある意味では
1154.12	1155.12	ちょっと厳しい味方をすれば
1155.12	1156.12	最後のチャンスになるかもしれない
1156.12	1157.12	そういった意見を見れる
1157.12	1158.12	望んでいるチームも
1158.12	1159.12	多いのではないでしょうか
1159.12	1160.12	ちょっと
1160.12	1161.12	幕大で見ていきましょう
1161.12	1163.12	現在のチームポイントを見ていきます
1165.12	1166.12	はいお話あったように
1166.12	1167.12	まあ
1167.12	1168.12	上位2チームということなんですが
1168.12	1169.12	今回も
1169.12	1171.12	福岡外版高屈ゲームに
1171.12	1172.12	企業と3人
1172.12	1173.12	しっかりと
1173.12	1174.12	お送り込んでいると
1174.12	1175.12	いうところで
1175.12	1176.12	ポイントを伸ばしていきそう
1176.12	1177.12	そして
1177.12	1178.12	アクシス
1178.12	1179.12	A UDネーション
1179.12	1180.12	吉本ゲーム
1180.12	1181.12	G-BG
1181.12	1182.12	横浜F-Marryの
1182.12	1183.12	スレバンが
1183.12	1184.12	サップロー
1184.12	1185.12	名古屋オジャベビスター
1185.12	1186.12	ということになります
1188.12	1189.12	はい
1189.12	1190.12	チームはポイントも
1190.12	1191.12	並んでいるということで
1191.12	1192.12	おうじゃから
1192.12	1193.12	するとちょっと
1193.12	1194.12	熱い展開というか
1194.12	1195.12	そうですね
1195.12	1196.12	まあ
1196.12	1197.12	単純に全体順位の中で
1197.12	1198.12	一つでも
1198.12	1198.62	上を目指すという意味でも
1198.62	1199.62	今回のまず
1199.62	1200.62	本戦なのというところが
1200.62	1201.62	一つ重要な
1201.62	1202.62	ポイントになってきそうです
1202.62	1203.62	はい
1203.62	1204.62	ここからは
1204.62	1205.62	本戦の組み合わせに
1205.62	1206.62	ついてご紹介します
1206.62	1207.62	まずは
1207.62	1208.62	4戦最終順位の
1208.62	1209.62	各グループの
1209.62	1210.62	最終順位です
1212.62	1213.62	はい
1213.62	1215.62	ご覧のようになりました
1215.62	1216.62	ローテーション
1216.62	1218.62	グループA、Bは
1218.62	1219.62	上位3名
1219.62	1220.62	そして2ピックが
1220.62	1221.62	4名
1221.62	1222.62	本戦やと
1222.62	1224.62	出場ということになっています
1226.62	1227.62	こちらの順位が
1227.62	1228.62	反映されました
1228.62	1230.62	本戦統の面図表見ていきましょう
1230.62	1231.62	まずは
1231.62	1232.62	ローテーションです
1234.62	1235.62	我々のお伝えしていくのは
1235.62	1236.62	左の
1236.62	1237.62	ラウンドワンの
1237.62	1239.62	日試合ということになります
1241.62	1242.62	今回も
1242.62	1243.62	3人を
1243.62	1244.62	しっかりと
1244.62	1245.62	オピリコンでいるという
1245.62	1246.62	フォークス
1246.62	1247.62	さらに
1247.62	1248.62	ポイントを伸ばして
1248.62	1249.62	いきそうという展開を捜されます
1249.62	1250.62	続いて
1250.62	1251.62	2ピックです
1254.62	1255.62	こちらは
1255.62	1256.62	1位2か2位2か
1256.62	1257.62	2位は
1257.62	1258.62	後番手ージが
1258.62	1260.62	あさえられているということになります
1262.62	1263.62	では2ピックは
1263.62	1264.62	総産
1264.62	1267.62	総産が
1267.62	1272.62	をさせていくと
1272.62	1274.62	一位は
1274.62	1275.62	こちらの戦士です
1275.62	1276.62	ローテーションは
1276.62	1277.62	アグノム特表率は
1277.62	1279.62	32.3%
1279.62	1280.62	そして
1280.62	1281.62	G-8
1281.62	1283.62	2ピックでは
1283.62	1287.26	53.7% カンフルを持ってきましたか?
1287.26	1290.06	ちょっとおかしいな数字といっちゃるんですけど
1290.06	1291.06	なんか
1291.06	1292.90	あのあれですからね
1292.90	1295.42	ローテーションは6名から1名を選ぶ
1295.42	1295.92	はいはいはい
1295.92	1299.06	2ピックに関しては4名から1名を選ぶということで
1299.06	1301.94	もちろん特許率として集まり安くあるんですが
1301.94	1304.40	それにしても強い的な数字ですね
1304.40	1306.94	順次いすれば2ピック4で割ると
1306.94	1307.18	はい
1307.18	1309.38	25%ずつ
1309.66	1314.46	中で反数以上を取っていくっていうのは
1314.46	1316.42	ちょっと企画がいるんですよね
1316.42	1319.78	やはり予選を1位ずかしていたということも
1319.78	1321.50	後ろしていると思うんですが
1321.50	1324.46	ホルストのこのネス用へファンの人気です
1324.46	1327.06	多分ったところに現れているのかなと思います
1327.06	1328.94	ファンの人気という意味でいくと
1328.94	1331.34	このローテーションのアグノムに関しても
1331.34	1333.38	予選は2位抜けということで
1333.38	1335.38	通常この1位抜けにこれまで
1335.38	1338.58	過去も今日が集まっていたということを考えると
1338.62	1342.70	やはりアグノムの普段の自信の配信であったりだとか
1342.70	1344.22	って言ったところの活動
1344.22	1348.30	ここからファンが広がっていっている様子というところも伺います
1348.30	1351.70	ローテーション6で割れとも167%ということで
1351.70	1352.86	なりますので
1352.86	1354.26	またいて2人分ぐらいのところを
1354.26	1357.34	確認しているというようなことになります
1357.34	1360.94	続きまして本日の試合スケジュール紹介します
1363.90	1366.26	まず割る割るがマッツタイムラ
1366.26	1370.54	そしてアグノムカキピーという2線をお届けします
1370.54	1372.34	その後は2ピック2線
1372.34	1375.58	ポレストバーサスサにそして親タイククロス
1375.58	1378.38	そして後半線はたく見たい後ム
1378.38	1382.38	そしてサシュラムというような形になっていきます
1384.34	1387.62	そして本線も公式ミラー配信を実施します
1387.62	1389.22	ご覧の皆様に加えまして
1389.22	1393.22	本戦出了チームをそれぞれのチャンネルで実施する予定です
1393.26	1397.54	またエアマンさんのみデイツのみの配信ということになります
1397.54	1400.82	配信概要欄にURLを記載しておりますので
1400.82	1403.86	そちらもぜひチェックしてみてください
1404.94	1406.26	ご村くしやいが始まります
1406.26	1408.18	最後にキャンペーンのご紹介です
1408.18	1410.18	まずはこちらです
1411.34	1413.26	まずはリツイートキャンペーンです
1413.26	1415.74	レイリシャドバース公式ツイッターを頃して
1415.74	1419.46	9月14日から9月16日に投稿されています
1419.46	1421.34	リツイートキャンペーンのツイート
1421.34	1423.90	もういずれかをリツイートよろしくお願いします
1423.90	1428.94	中線のご名様に曲転流明カードパックチケット10枚をプレゼントします
1428.94	1431.58	日園は9月18日までです
1432.58	1434.10	続いてはこちらです
1435.58	1437.58	センシュオウインキャンペーンです
1437.58	1440.54	レイリシャドバース公式ツイッターの頃お願いします
1440.54	1442.86	そして明日ぐrsptをつけまして
1442.86	1445.26	センシュエの応援ツイートよろしくお願いします
1445.98	1448.58	中線で曲転流明リアルプロモーションカード
1448.58	1451.42	前視セットをrspt特製フレームに入れまして
1451.42	1453.42	ご名様にプレゼントいたします
1454.94	1458.42	こちらも機嫌は9月18日までということになります
1458.42	1460.34	オウインツイートなんですが
1460.34	1462.82	ずいじ画面の株に表現されていきます
1464.34	1466.66	そしてチームのエンブレームやスリープがもらいます
1466.66	1469.14	コニー&レイルキャンペーンをご紹介いたします
1470.46	1472.78	各チームへのL装額が400を超えますと
1472.78	1473.90	サポーターエンブレブ
1473.90	1475.38	そして800を超えますと
1475.38	1477.50	サポータースリープがプレゼントされます
1479.14	1481.42	配信終了からおよそ2週間以内に
1481.42	1483.14	ゲーム内にプレゼントされますので
1483.14	1486.02	オープンレックのプロビル設定内あります
1486.02	1487.42	ゲーマーカウントの設定から
1487.42	1490.22	ちょっとばいいの登録を忘れずによろしくお願いいたします
1491.46	1494.26	また複数チームへのLはガッサンされませんので
1494.26	1495.58	こちらもご注意ください
1497.06	1499.54	ということで今回もキャンペーンもリダックさんですので
1499.54	1500.94	皆様ご参加いただき
1500.94	1502.46	大会の方をもりやきていきましょう
1503.86	1504.38	そして
1505.62	1506.86	レイルシャドーバースプロッツアー
1506.86	1507.70	2 2 3
1507.70	1509.38	サードシーズンはサードウェーブ
1509.38	1510.18	ガレリア様
1510.18	1512.70	ポジクール様にごくわるこういただいております
1512.70	1514.70	皆様よろしくお願いいたします
1515.66	1518.18	サンバームラクターイッセントということになりますが
1518.18	1520.06	かなり今回も特徴が出た
1520.06	1521.06	持ち込みになりました
1521.06	1523.06	改めてどのところに注目してみましょうか
1523.06	1523.62	そうですね
1523.62	1526.62	持ち込み今さしく今お話しいただいたような形で
1526.62	1529.14	特徴が出ているとなりという形になります
1529.14	1530.74	一つはラティカエルフ
1530.74	1532.42	こちらを強く使っていくというような
1532.42	1533.82	おどの持ち込み方ですね
1533.82	1535.74	でそれに対してラティカエルフを
1535.74	1538.06	どこまで他のデッキ選択で
1538.06	1539.74	意識していくかっていったところが
1539.74	1541.62	かなりプレイヤー1人1人によって
1541.62	1543.78	下が出てきている部分になりますので
1543.78	1545.86	果たしてラティカをメタリーに来たで
1545.86	1547.94	というところがラティカエルフをしっかりと
1547.94	1549.50	クイ止めることができるのか
1549.50	1549.70	はい
1549.70	1551.90	畑またこの環境終盤に一気に
1551.90	1552.66	体験をしてきたら
1552.66	1554.82	次回エルフがその持ち前の関連力もって
1554.82	1556.10	突破していくのか
1556.10	1558.66	こういったところが非常に注目のポイントとなりそうです
1559.82	1561.54	さあそれでは試合に参りましょう
1561.54	1562.06	ローデーション
1562.06	1562.90	ビオーファイブ
1562.90	1563.58	ラウンドワン
1563.58	1564.58	マッチワン
1565.86	1566.74	です
1570.74	1571.78	まずはマッツ
1571.78	1575.58	今回が本戦出場自体は初めてということになります
1576.62	1579.18	パーストシーズンは3,4での予選配体
1579.18	1581.30	そしてセカンドシーズンも2,5での配体
1582.10	1583.82	今回が初めての出場
1583.82	1585.14	そしてラント行っても
1585.14	1587.22	名古屋では現在再開ということになりますので
1587.22	1589.42	ここでいかにポイントを化せげるかと
1589.42	1591.26	いうところが一つ
1591.26	1592.58	重要なポイントになりそうです
1593.58	1597.58	さあ対策は無駄ということになります
1597.58	1601.58	全シーズンで本戦出場を果たしていると
