start_time	end_time	transcript
0.00	6.72	あとはT-46!
240.00	245.08	ぴしきと、バークは咲こましこぼう
245.08	252.24	 hiçタイムに、シバー� wel と
252.24	255.24	では、私はドアじゃなくて会った Wizard 13の操作に手を交交しております
256.22	259.00	笑
259.96	272.34	語はアドレバルと
272.34	276.08	韓国の中国な利 asp
276.08	277.16	스프도לקを追い込んで手をábけて
277.16	277.88	敬意を外怎麼して to
277.88	282.02	このようなことを
732.02	734.18	うっ
737.78	743.18	ええええええええええええええええええええええええええ 9
749.18	752.72	ああああああああああああああああああああああああville
842.72	864.40	この話を倒せるとでも思っておくのか
903.62	914.52	スペイン今日はスタッターまでながたくさんになる
917.02	924.92	このフィットリファイアルドのデヲヤが高めば打つ
927.42	932.22	想像は初めてライトしてるら
1022.72	1030.20	レeling
1322.72	1326.08	こちらDJブースです。今日来ていただいたのは
1326.08	1330.48	昨日に引き続け、DJアジュリカです。
1330.48	1333.46	DJアジュリカといえば、もう
1333.46	1335.46	NAMCOさんのレジェンドでした。
1335.46	1340.16	もともと、9NAMCOで一緒に仕事してたんですけど、
1340.16	1344.26	もう彼は、いわゆる独立組の9センポーというか
1344.26	1346.36	ものすごくサイノが通じからあって、
1346.36	1350.22	もう鉄系の数字のレジェンドな曲を作ってくれてます。
1350.22	1352.12	こんな風にセットというと、
1352.12	1354.34	120パーでやってくれる、
1354.34	1356.12	本当に唯一の存在で、
1356.12	1358.92	ものすごく信頼のオケルアーティストです。
1358.92	1362.12	昨日の夜のアフターパーティーのDJでも、
1362.12	1364.32	会場と、あともチャットランが、
1364.32	1367.32	やっぱり、もう大多さぎさせてくれたんで、
1367.32	1370.72	今日も結構良いDJ、効果してもらえると思います。
1370.72	1371.92	よろしくお願いします。
1371.92	1373.92	DJアジュリカです。
1374.92	1376.92	よろしくお願いします。
1472.12	1474.12	DJアジュリカしてる。
1502.12	1504.12	DJアジュリカしてる。
1532.12	1534.12	DJアジュリカしてる。
1592.12	1594.12	DJアジュリカしてる。
1622.12	1624.12	DJアジュリカしてる。
1652.12	1654.12	DJアジュリカしてる。
1682.12	1684.12	DJアジュリカしてる。
1712.12	1714.12	DJアジュリカしてる。
1742.12	1744.12	DJアジュリカしてる。
1772.12	1774.52	DJアジュリカしてる。
2492.12	2496.12	1
2496.12	2500.12	2
2500.12	2504.12	2
2504.12	2508.12	2
2508.12	2512.12	2
2512.12	2516.12	2
2516.12	2520.12	2
2520.12	2524.12	2
2524.12	2528.12	2
2528.12	2532.12	2
2532.12	2536.12	2
2536.12	2540.12	2
2540.12	2544.12	2
2544.12	2548.12	2
2548.12	2552.12	2
2552.12	2556.12	2
2556.12	2560.12	2
2560.12	2564.12	2
2564.12	2568.12	2
2568.12	2572.12	2
2572.12	2576.12	2
2576.12	2580.12	2
2580.12	2584.12	2
2584.12	2588.12	2
2588.12	2592.12	2
2592.12	2596.12	2
2596.12	2600.12	2
2600.12	2604.12	2
2604.12	2608.12	2
2608.12	2612.12	2
2612.12	2616.12	2
2616.12	2620.12	2
2620.12	2624.12	2
2624.12	2628.12	2
2628.12	2632.12	2
2632.12	2636.12	2
2662.12	2666.12	2
2692.12	2696.12	2
2722.12	2726.12	2
2726.12	2730.12	2
2730.12	2734.12	2
2734.12	2738.12	2
2738.12	2742.12	2
2742.12	2746.12	2
2746.12	2750.12	2
2750.12	2754.12	2
2754.12	2758.12	2
2758.12	2762.12	2
2762.12	2766.12	2
2766.12	2770.12	2
2770.12	2774.12	2
2774.12	2778.12	2
2778.12	2782.12	2
2782.12	2786.12	2
2786.12	2790.12	2
2790.12	2794.12	2
2794.12	2798.12	2
2798.12	2802.12	2
2802.12	2806.12	2
2808.12	2812.12	2
2812.12	2816.12	2
2816.12	2820.12	2
2820.12	2824.12	2
2824.12	2828.12	2
2828.12	2832.12	2
2832.12	2836.12	2
2836.12	2840.12	2
2840.12	2844.12	2
2844.12	2848.12	2
2848.12	2852.12	2
2852.12	2856.12	2
2856.12	2860.12	2
2860.12	2864.12	2
2864.12	2868.12	2
2868.12	2872.12	2
2872.12	2876.12	2
2876.12	2880.12	2
2880.12	2884.12	2
2884.12	2888.12	2
2888.12	2892.12	2
2892.12	2896.12	2
2896.12	2900.12	2
2900.12	2904.12	2
2904.12	2908.12	2
2908.12	2912.12	2
2912.12	2916.12	2
2916.12	2920.12	2
2920.12	2924.12	2
2924.12	2928.12	2
2928.12	2932.12	2
2932.12	2936.12	2
2936.12	2940.12	2
2940.12	2944.12	2
2944.12	2948.12	2
2948.12	2952.12	2
2952.12	2956.12	2
2956.12	2960.12	2
2960.12	2964.12	2
2964.12	2968.12	2
2968.12	2972.12	2
2972.12	2976.12	2
2976.12	2980.12	2
2980.12	2984.12	2
2984.12	2988.12	2
2988.12	2992.12	2
2992.12	2996.12	2
2996.12	3000.12	2
3000.12	3004.12	2
3004.12	3008.12	2
3008.12	3012.12	2
3012.12	3016.12	2
3016.12	3020.12	2
3020.12	3024.12	2
3024.12	3028.12	2
3028.12	3032.12	2
3032.12	3036.12	2
3036.12	3040.12	2
3040.12	3044.12	2
3044.12	3048.12	2
3048.12	3052.12	2
3052.12	3056.12	2
3056.12	3060.12	2
3060.12	3064.12	2
3064.12	3068.12	2
3068.12	3072.12	2
3072.12	3076.12	2
3076.12	3080.12	2
3080.12	3084.12	2
3084.12	3088.12	2
3088.12	3092.12	2
3092.12	3096.12	2
3096.12	3100.12	2
3100.12	3104.12	2
3104.12	3108.12	2
3108.12	3112.12	2
3112.12	3116.12	2
3116.12	3120.12	2
3120.12	3124.12	2
3124.12	3128.12	2
3128.12	3132.12	2
3132.12	3136.12	2
3136.12	3140.12	2
3140.12	3144.12	2
3144.12	3148.12	2
3148.12	3152.12	2
3152.12	3154.12	2
3154.12	3156.12	2
3156.12	3160.12	2
3160.12	3164.12	2
3164.12	3168.12	2
3168.12	3172.12	2
3172.12	3176.12	2
3176.12	3180.12	2
3180.12	3184.12	2
3184.12	3188.12	2
3188.12	3192.12	2
3192.12	3196.12	2
3202.12	3206.12	2
3232.12	3236.12	2
3236.12	3238.12	2
3238.12	3248.12	2
3248.12	3252.12	2
3252.12	3256.12	2
3256.12	3258.12	2
3258.12	3260.12	2
3260.12	3261.12	2
3261.12	3265.12	3
3265.12	3269.12	2
3269.12	3277.12	2
3277.12	3281.12	2
3281.12	3285.12	2
