start_time	end_time	transcript
510.00	536.68	この場所を倒せるとでも思っておうのか
596.98	603.46	ドレンジのroydabe
603.56	606.64	エータオシンプル
606.64	619.84	弱混無虜
626.68	630.40	皆さん こんばー
630.40	634.90	どうも 本日はテッキケンワールド32025の
634.90	638.30	公式日本語配信コンボブレーカー 2025の
638.30	639.76	オッチパーティーですね
639.76	641.08	はい 今回はですね
641.08	642.08	オッチパーティー
642.08	643.44	オッチパーティーの 弱いわけできます
643.44	645.72	ということで 今年もよろしくお願いします
645.72	646.72	現代です
646.72	647.72	よろしくお願いします
647.72	648.72	よろしくお願いします
648.72	650.76	はい では 福祉でございます
650.76	651.96	改めてよろしくお願いします
651.96	653.96	福祉さん よろしくお願いします
654.26	654.46	はい
654.46	655.26	ふふ
655.26	657.50	はい そして 振りのイスポーズキャスター
657.50	658.84	感謝お願いします
658.84	659.98	はい よろしくお願いします
659.98	660.48	よろしくお願いします
660.48	661.78	色んなところにいるからね
661.78	663.08	そうか アメトムさん
663.08	664.88	はい そして 私 ゴマリちゃんこと
664.88	665.60	ゴミマリカです
665.60	667.04	よろしくお願いします
667.04	668.04	よろしくお願いします
668.04	668.76	去年ぶりと
668.76	670.58	ということで あの われわれもね
670.58	672.28	このゲーヤーの部屋もですね
672.28	673.26	通称ゲーの部屋も
673.26	674.38	そうですね お邪魔させていただいて
674.38	676.48	そうかの ことして引っ越しまして
676.48	677.36	ちょっちょっ
677.36	678.28	黄色いなっしゃっか
678.28	679.28	ちょっと黄色いなっしゃっか
679.28	682.08	マグリもね テッキケンのぐっつぶりが
682.08	685.44	相当後ろも 充実してる感じでございますけれども
685.44	688.64	この携帯で 去年も 適嫌わるとさ
688.64	693.72	2020のマスター大会と 毎朝 エボーがマスタープラス
693.72	696.40	大会を公式に オンアイシーとして いただきましたけれども
696.40	698.12	今年も いただきますので
698.12	699.40	どうぞ 皆さんよろしくお願いします
699.40	700.60	よろしくお願いします
700.60	701.20	お願いします
701.20	701.96	やっぱり 嬉しい
701.96	703.16	今日はね 許く
703.16	703.84	はい
703.84	704.92	去年通り 許く
704.92	707.36	あ そうそうそう 後ろ コメントが
707.36	709.12	みんなも 一緒に この部屋にいますよ
709.12	710.68	はい 見えております
710.68	713.08	後ろ見ないと 見えないおけだなって
713.08	716.60	俺の から 見えるようになってますんで
716.60	718.24	さすがは 保守機が 入っていますよね
718.24	719.44	後ろのコメントは いいですね
719.44	720.24	そう
720.24	724.24	だから 今日のゲームと 神像さんが
724.24	726.24	空気を見たら 神像さんが
726.24	727.24	ポジションに行くか
727.24	728.24	そう そうそう
728.24	730.24	そう そうそう
730.24	731.24	買ったおいつかね
731.24	734.24	食べだめだめ
734.24	735.28	大きい
735.28	736.24	もう 次いる
736.24	738.28	もう 会いたい人としては 神像さんと
738.28	739.28	コメントが 神っちゃう
739.28	741.00	はい 買ってになっちゃうんですけど
741.00	741.88	ちゃんと 見てますんで
741.88	742.88	はい
742.88	745.48	あの 東京都 高速 保守の
745.48	746.48	この
746.48	748.48	いいと もう すんでね
748.48	749.72	お前 今日の日はね
749.72	751.00	今日の日は 1Kだったんだけど
751.00	753.20	今日の 1DKになったのか ことじゃね
753.20	754.00	広くなって
754.00	755.40	10Kも変わったしね
755.40	756.80	10Kって
756.80	757.80	10Kって話してる
757.80	758.80	10K
758.80	760.08	はい よろしくお願いします
760.08	760.96	よろしくお願いします
760.96	763.48	じゃあね 試合は
763.48	767.08	12時 予定で 2話になってる
767.08	769.08	んですけど この配信は
769.08	771.16	もちろん 本家配信順境でやっていきたい
771.16	772.16	ですので
772.16	772.80	それまでに
772.80	774.32	DWTの振り返りだとか
774.32	775.92	一番ご説明とか
775.92	776.96	簡単しながら
776.96	777.96	やっていけたら
777.96	778.96	だと思っております
778.96	780.64	はい 始まったい感があります
780.64	781.64	そうなんですよね
781.64	782.96	一応 適宜割とつらとしたは
782.96	785.44	5月9日のエボジャパン
785.44	787.16	からスタートではあるんですけど
787.16	788.68	もう このマスター大会というのは
788.68	789.48	このコンボプレイカー
789.48	791.08	2025からスタート
791.08	791.68	ってございます
791.68	793.64	今年はね 同一試合になるとか
793.64	795.52	で 今回は
795.52	797.52	例1の方はすでに終了している
797.52	799.68	詳しい皆さんだったらわかっているのかなと
799.68	800.76	思いまー
800.76	801.76	破壊しでしょうかか
801.76	802.76	ありがとうございました
802.76	803.76	ありがとうございました
803.76	804.76	ありがとうございました
804.76	805.76	ありがとうございました
805.76	806.76	ありがとうございました
806.76	807.76	ありがとうございました
807.76	808.76	それが 世界ないんだ
808.76	809.76	世界たー
809.76	811.76	ザインナル3が
811.76	813.28	そんな捉えてる
813.28	814.28	ゲアさんじゃ初めて
814.28	816.24	あの実況解釈で一緒に
816.24	817.84	テッキーもやってことあるんですけど
817.84	819.44	あれはあの画面の中のゲンやる
819.44	820.04	なるほど
820.04	821.04	平安の中のゲンやる
821.04	822.04	トライベーズゲンやる
822.04	823.88	ちょっとけてかかる
823.92	824.92	こんな捉えてるゲアさん
824.92	825.92	初めてになる
825.92	827.92	結構付けは長くなってきたわ
827.92	829.92	って感じのサントは
829.92	831.92	なのでデー1がもうやっておりまして
831.92	833.92	デー2から割れ割れか
833.92	835.92	感染していく形になります
835.92	836.92	で 一応
836.92	838.92	だいたい朝9時とか
838.92	839.92	10時とか
839.92	840.92	ぐらいまでやるのかなっていうことなので
840.92	841.92	テッキーのお宅の
841.92	843.92	視聴者の皆さんも
843.92	845.92	だいぶもう寝てきたと思いますんで
845.92	846.92	リダツは許しません
846.92	847.92	ということで
847.92	849.92	最高まで一緒に
849.92	850.92	感慨していただきたい
850.92	851.92	よろしくお願いします
851.92	852.92	よろしくお願いします
852.96	854.96	日本ではもね見れると思います
854.96	856.36	後ろで超発展やっぱり
856.36	857.36	チャレンジでね
857.36	857.92	そうだね
857.92	858.92	そうそう
858.92	859.92	結構このゲストが
859.92	861.92	おのぬくできないと
861.92	862.92	やいやいやいやいや
862.92	863.92	言われるんで
863.92	864.92	超発展やっぱ
864.92	865.92	はい
865.92	866.92	ということで
866.92	867.92	やっていきますんで
867.92	868.92	じゃあまず
868.92	869.92	テッキー割るとツアーの説明を
