start_time	end_time	transcript
480.00	506.00	この場所を倒せるとでも思っておるのか
506.00	526.24	こんな事?
566.00	573.00	ん
573.00	578.00	ん
578.00	582.00	ん
582.00	585.00	ん
585.00	588.00	ん
588.00	591.00	ん
591.00	594.00	ん
594.00	595.00	ん
595.00	598.00	ん
598.00	600.00	はい、皆さんこんばんは
600.00	601.00	ん
601.00	606.00	本日はTWT2020公式に4回進、コンボブレーカー2020の最終日です
606.00	608.00	よろしく会社!
608.00	609.00	おはようございます。
609.00	611.00	本日もゲンアーが多くにしていきます
611.00	614.00	よくぞ、再びケンアーの部屋でおくらさ
614.00	615.00	はい、ゲームね
615.00	617.00	そんな行業主かぜろ
617.00	619.00	なるほど、ゲンアーの部屋に行って
619.00	621.00	そんな行業主はい、よくお願いします
621.00	623.00	今日もコンボブレーカーでした
623.00	625.00	きょうのことですか
625.00	627.00	AKの優勝した時に来ちゃうか
627.00	629.00	いや、多分コンボブレーカーかも
629.00	630.00	よね
630.00	631.00	そうだって気がする
631.00	633.00	手こそ2年目ずくコンボブレーカーに行って
633.00	635.00	いないんだなって言うかね
635.00	637.00	なるほどね
637.00	638.00	まあ、ドグラスアントヤバね
638.00	641.00	大度、デッキのづき、トーゲーマーとして
641.00	642.00	知られていますから
642.00	643.00	本日もよろしくお願いします
643.00	644.00	お願いします
644.00	645.00	じゃあ、フテーサン機のにきつづき
645.00	646.00	よろしくお願いします
646.00	647.00	よろしくお願いします
647.00	649.00	今日はこの3人でやっていくんですけど
649.00	651.00	まあ、あとで優さん
651.00	653.00	チーム山さんの優さんと
653.00	655.00	あとコーラしかね
655.00	657.00	もうリタクコーラしかね
657.00	659.00	もうリコーさんがね
659.00	661.00	来てくれるんで
661.00	663.00	みんなさんもね、一緒に顔してね見ていただけたかと思います
663.00	665.00	これゲーム部屋ちょっとね
665.00	667.00	去年から引っ越しまして
667.00	669.00	ちょっと広くなってるっていうことで
669.00	671.00	いや、私は広くなってます
671.00	673.00	そこそこそこそこ
673.00	675.00	やっぱり広い
675.00	677.00	なんか
677.00	679.00	セマスギルでしょ
679.00	680.00	やっぱり
680.00	681.00	ちょっと
681.00	682.00	おかげで
682.00	685.00	広いしてるぐらいの広い方じゃないですか
685.00	687.00	去年ね、色々ね、やらせていただきましたから
687.00	688.00	ちょうどやっぱチャメンジよ
688.00	689.00	あれ、やってない
689.00	690.00	福島がやってないよ
690.00	691.00	やったら
691.00	692.00	ちょうどやっぱチャメンジよ
692.00	693.00	までもないよ
693.00	694.00	やるまでもない
694.00	697.00	これ、プライアン使いとして別の顔を持ってるかんすか
697.00	699.00	そうですよ、テキサスマックスよ
699.00	700.00	いっちゃうな
701.00	702.00	まあまあまあまあ
702.00	704.00	ちょうどやっぱりテレンジあるといいなと
704.00	705.00	そうですね
705.00	706.00	お利用みたいなところで
706.00	707.00	ゲーム部屋なんてで
707.00	709.00	あとコメントもこうやって広っていく感じですよね
709.00	711.00	よりく、やらせていただければと思う
711.00	712.00	よろしくお願いします
712.00	713.00	お願いします
713.00	714.00	はいでは
714.00	716.00	コンボブレーカー2020頃ですけど
716.00	717.00	今で突破24枚で
717.00	719.00	試貫されておりまして
719.00	721.00	敵のRとさ2020頃の
721.00	723.00	マスタート以下の紹介ですよね
723.00	724.00	なので
724.00	726.00	結構有力の選手がたくさん
726.00	727.00	言ってるわけですが
727.00	728.00	日本人選手もね
728.00	729.00	結構残ってるので
729.00	731.00	公式日本外信もおやけさっていただきます
731.00	732.00	お願いします
732.00	733.00	はい
733.00	734.00	なので
734.00	736.00	今日で優勝が決まる
736.00	737.00	というところになっております
737.00	740.00	24から優勝までの結構長いですね
740.00	741.00	これ最初でとして
741.00	742.00	結構嬉しくないですか
742.00	744.00	突破とだけしか見れないとかよりも
744.00	745.00	個人的には結構嬉しくて
745.00	746.00	まあ
746.00	747.00	言ったら
747.00	749.00	24から8くらいまでが一番濃いですか
749.00	750.00	そうそうそう
750.00	751.00	そうですね
751.00	753.00	24人全員8にいていいんだもんね
753.00	755.00	っていうようなメンツなんで
755.00	756.00	そうそれはそう
756.00	757.00	そう面白いんですよね
757.00	758.00	ここは
758.00	759.00	はいじゃあ
759.00	760.00	昨日に引き続きになりますけど
760.00	762.00	でっけんわると220個のおさらい
762.00	763.00	はいでみましょう
763.00	764.00	はい
764.00	765.00	これねどぶらさんもね
765.00	767.00	今年のレギュレーション変わってるところとかもね
767.00	768.00	まあもちろん
768.00	769.00	耳にしてるかもしれないですけど
769.00	770.00	一応
770.00	771.00	おさらい
771.00	772.00	はい
772.00	773.00	はい
773.00	774.00	おもります
774.00	775.00	こうやってたしかなかったね
775.00	777.00	って言ったらこの回答とか変わってるんで
777.00	778.00	お願いします
778.00	779.00	はいはい
779.00	780.00	はいじゃあスケジュールからですね
780.00	782.00	まあ5月の国会をお茶さんからスタートして
782.00	784.00	11月30日終上で
784.00	785.00	11月30日が
785.00	786.00	まあ0年通りなんですけど
786.00	787.00	台側パカットですね
787.00	788.00	あーそうです
788.00	789.00	はいじゃあなるほどラストが
789.00	790.00	台対ラストは
790.00	791.00	台側パカット
791.00	792.00	台の台階です
792.00	793.00	はい
793.00	794.00	はい
794.00	795.00	どうで
795.00	797.00	登場の新席感とか開催機感とかあるんですけれども
797.00	798.00	一応登場の新席感が
798.00	800.00	11月1日終了なんですけど
800.00	802.00	登場開催機感が11月9日なので
802.00	803.00	うん
803.00	804.00	うん
804.00	805.00	うん
805.00	806.00	うん
806.00	807.00	うん
807.00	808.00	どうっちゃえば
808.00	809.00	影響ミジュー用がある
809.00	810.00	可能性があるスケジュールですよね
810.00	811.00	これ
811.00	812.00	結構ポイント的に
812.00	813.00	うん
813.00	815.00	もう気分のところやから
815.00	816.00	なんかね
816.00	817.00	市義者ぐらいの可能性があります
817.00	818.00	例えば
818.00	819.00	じゃあ
819.00	820.00	グッパッと消毒したね
820.00	821.00	マツバーが
821.00	822.00	ポイント頼ないってなったら
822.00	823.00	これは1例ですけど
823.00	824.00	はい
824.00	825.00	ですけど
825.00	826.00	じゃあそのグッパッとが登場開催機感
826.00	827.00	ということも
827.00	828.00	例としてはあり得る
828.00	829.00	あり得ますね
829.00	830.00	なるほどね
830.00	831.00	4件差に見たせば
831.00	832.00	フェアに開催できますからね
832.00	833.00	はい
833.00	834.00	はい
834.00	835.00	その代わりで
835.00	836.00	あると
836.00	837.00	同じような強化のツープリア
837.00	838.00	一般できますからね
838.00	839.00	まあ実力で勝ち取れてると
839.00	840.00	なんですけど
840.00	841.00	今年5ポイントされないと
841.00	842.00	フェアにいましたからね
842.00	843.00	ポートパン自動とかで
843.00	844.00	やるわるすよね
844.00	846.00	ポイントさきっとは
846.00	847.00	そうなんですよ
847.00	848.00	なんで
848.00	849.00	なんていうか
849.00	850.00	シーズンマツの
850.00	851.00	ポイント争いも
851.00	852.00	楽しみですよね
852.00	853.00	という感じですね
853.00	854.00	でまぁプレイアトロー機感が
854.00	857.00	終了が11日になってるので
857.00	859.00	選手の方は
859.00	860.00	是非
860.00	861.00	登録を忘れないようにしてください
861.00	863.00	どうぞ大会出る方もね
863.00	864.00	プレイアトロー機感というのがあるんで
864.00	865.00	今のうちに
865.00	866.00	やっておいてください
866.00	867.00	お願い致します
867.00	868.00	はい
868.00	869.00	じゃあ次
869.00	871.00	グロバルリーダーボードと
871.00	872.00	リジョンリーダーボードからの
872.00	873.00	ファイナーの新宿者なんですけど
873.00	874.00	これ去年という一緒で
874.00	875.00	グロバルリーダーボード
875.00	876.00	世界ランキングからは
876.00	877.00	ジョイにジョメ
877.00	878.00	でリジョンリーダーボードからは
878.00	879.00	各15地域の
879.00	881.00	1位の選手のみ
881.00	882.00	つまり15位
882.00	883.00	35名が行くんですけど
883.00	884.00	はいここ
884.00	885.00	ドブラさん
885.00	887.00	グロバルリーダーボードからのファイナーの新宿とは
887.00	889.00	ランキングジョイの4名は
889.00	890.00	グループリーグを
890.00	891.00	オースできる
891.00	892.00	すごいな
892.00	893.00	これめっちゃ良くて
893.00	894.00	スーパーシーの
894.00	895.00	スーパーシーのケーキ
895.00	896.00	最終日の
896.00	897.00	トーの目的と
897.00	898.00	2020は
898.00	899.00	トップ16
899.00	900.00	かな
900.00	901.00	カラー
901.00	902.00	2かけ8日から
902.00	904.00	カラー
904.00	906.00	1気になり
906.00	907.00	トップ16から始めれるのか
907.00	908.00	そうそうそう
908.00	909.00	はいじゃあ
909.00	910.00	トップ16かどうかという
910.00	911.00	歴史は
911.00	912.00	まだ発表されてないから
912.00	913.00	されてないのかな
913.00	914.00	されてないのかな
914.00	915.00	それは
915.00	916.00	書いてないですけど
916.00	917.00	とにかく
917.00	918.00	ユーリー
918.00	919.00	ジョイ4名
919.00	920.00	いやーじゃあこれ
920.00	921.00	ちゃんとジョイと
921.00	922.00	俺のすごい大事ですね
922.00	923.00	はいでよったら
923.00	924.00	うるさん
924.00	925.00	ブルゴールド
925.00	926.00	アティフがある
926.00	927.00	サランシュ
927.00	928.00	かな
928.00	929.00	ジョイ4名は
929.00	930.00	なんで
930.00	931.00	去年でいると
931.00	932.00	この辺つ
932.00	933.00	が最終日に
933.00	934.00	行くよーっていうような
934.00	935.00	ルールになっています
935.00	936.00	うーん
936.00	937.00	これは大きいですね
937.00	938.00	はいでは次
938.00	939.00	グロバルリーダーボード
939.00	940.00	世界ランキングとは
940.00	941.00	ということで
941.00	942.00	すべての大会ですね
942.00	943.00	世界上で開催する
943.00	944.00	すべての大会で
944.00	945.00	ランキングポイントの
945.00	946.00	角度が可能です
946.00	947.00	で、重印付けが
947.00	948.00	って
948.00	949.00	マスタープラス
949.00	950.00	マスターチャレンジは
950.00	951.00	どうぞあるんですけど
951.00	952.00	マスタープラスは
952.00	953.00	エボってなのを作大会ですね
953.00	954.00	今回の
954.00	955.00	このブレカーは
955.00	956.00	マスター大会
956.00	957.00	レギュレーションが
957.00	958.00	選手が
958.00	959.00	角度くっポイント
959.00	960.00	1つの大会
960.00	961.00	飲み
961.00	962.00	ポイントに反映されるのが
962.00	963.00	マスタープラス
963.00	964.00	マスターは
964.00	965.00	上位2つ
965.00	966.00	2位は
966.00	967.00	エボチャパン優勝してるんで
