start_time	end_time	transcript
300.00	328.00	はい
328.00	330.00	戻ってまいります。 太川組みです。
330.00	334.00	ここからまた5、6時間ぐらい続きますので
334.00	337.00	よろしくお願いします。
337.00	340.00	日本税は超福しちゃいますけれど
340.00	344.00	ノビだけランチはビーやチクリーム待つ場少年がウィダーズンだけ
344.00	346.00	先ほど紹介したところケースケットイーカリは
346.00	348.00	苦しんでますからルーザーズンだけ
348.00	351.00	量数やミシマンが活躍見られるかというところで
351.00	354.00	私は数や使い、トビーティーさんはケースケットは
354.00	356.00	一応もうネタイファンなんで
356.00	358.00	意味に来ましたケースケットの試合を
360.00	363.00	引き続き皆さんコメントの方もよろしくお願いします
363.00	365.00	この現役部屋は今やのし不財なんですけど
365.00	368.00	我々好き放題やコメントも広いまくりらしいんだね
368.00	370.00	以下用意もできますので
370.00	372.00	いえいし財って単語モノになる
372.00	374.00	なかなかない
374.00	376.00	そう
376.00	377.00	現役部屋ですからね
377.00	378.00	有機会もないか?
378.00	379.00	そう
380.00	386.00	今は今本配信の方もまだまだ
386.00	389.00	最初に前というところに
389.00	392.00	一部皆さん入れ替わりとかもあるかと思いますので
392.00	394.00	お願いします
394.00	395.00	はい
395.00	396.00	ということで
396.00	397.00	来ていただきました
397.00	398.00	はい
398.00	399.00	おはよう
399.00	400.00	こんにちは
400.00	401.00	おはようございます
401.00	402.00	一応ちょっと
402.00	404.00	1個詰めた方がいいのか
404.00	405.00	1個詰めた方がいいのか
405.00	406.00	1個詰めた方がいいのか
407.00	408.00	でこっちがいい
408.00	410.00	でます
410.00	412.00	あとこっちこっちこっち
412.00	414.00	現役の
414.00	415.00	現役のソファンは大丈夫か
415.00	416.00	現役のソファンは
416.00	418.00	現役のソファンは
418.00	420.00	1個ソファン1個はひどいだな
422.00	424.00	じゃあ9系進行
424.00	425.00	はい
425.00	426.00	お願いします
426.00	428.00	1個
428.00	429.00	マイクが
429.00	430.00	現役のマイクが
430.00	431.00	はい
431.00	432.00	はいどうも
432.00	433.00	はいどうも
433.00	434.00	ということで
434.00	435.00	おまま
