start_time	end_time	transcript
0.00	6.28	-аз
6.28	14.28	op
15.28	25.88	-
55.88	57.88	さっきは
57.88	58.88	あ
58.88	60.88	あ
60.88	62.88	あ
62.88	64.88	あ
64.88	65.88	あ
65.88	67.88	あ
67.88	70.88	あ
70.88	72.88	あ
72.88	74.88	あ
74.88	76.88	あ
76.88	78.88	あ
78.88	80.88	あ
80.88	82.88	あ
82.88	84.88	あ
84.88	86.88	あ
86.88	88.58	あ
88.58	89.78	あ
89.78	91.28	あ
91.28	92.28	あ
92.28	92.68	あ
92.68	94.68	あ
94.68	96.68	あ
96.68	97.08	あ
105.48	107.48	あ
107.48	109.18	あ
109.18	110.20	あ
110.20	114.38	あ
534.38	541.38	以上な見つまってもいいね
774.38	779.38	 go
779.38	784.06	スメコルみたいに
792.90	794.58	TOMATE
801.18	804.30	考えてっていう
869.38	871.38	エイコトラクランドイン
877.38	879.38	エイコンマーソンクラブ
883.38	885.38	エロネネロポンカ
899.38	901.38	エイコトラクラブ
929.38	931.38	エイコトラクラブ
959.38	961.38	エイコトラクラブ
989.38	991.38	エイコトラクラブ
1019.38	1021.38	エイコトラクラブ
1049.38	1051.38	エイコトラクラブ
1079.38	1081.38	エイコトラクラブ
1109.38	1111.38	エイコトラクラブ
1139.38	1141.38	エイコトラクラブ
1169.38	1171.38	エイコトラクラブ
1199.38	1201.38	エイコトラクラブ
1229.38	1231.38	エイコトラクラブ
1259.38	1261.38	エイコトラクラブ
1289.38	1291.38	グロバルリーダーボード
1319.38	1321.38	エイコトラクラブ
1349.38	1351.38	エイコトラクラブ
1379.38	1381.38	エイコトラクラブ
1409.38	1411.38	エイコトラクラブ
1439.38	1441.38	エイコトラクラブ
1469.38	1471.38	エイコトラクラブ
1499.38	1501.38	エイコトラクラブ
1529.38	1531.38	エイコトラクラブ
1559.38	1561.38	エイコトラクラブ
1589.38	1591.38	エイコトラクラブ
1619.38	1621.38	エイコトラクラブ
1649.38	1651.38	エイコトラクラブ
1679.38	1681.38	エイコトラクラブ
1709.38	1711.38	エイコトラクラブ
1739.38	1741.38	エイコトラクラブ
1769.38	1771.38	エイコトラクラブ
1799.38	1801.38	エイコトラクラブ
1829.38	1831.38	エイコトラクラブ
1859.38	1861.38	エイコトラクラブ
1889.38	1891.38	エイコトラクラブ
1919.38	1921.38	エイコトラクラブ
1949.38	1951.38	エイコトラクラブ
1979.38	1981.38	エイコトラクラブ
2009.38	2011.38	ランクバッチで人を送る
2039.38	2041.38	ランクバッチで人を送る
2069.38	2071.38	エイコトラクラブ
2099.38	2101.38	エイコトラクラブ
2129.38	2131.38	エイコトラクラブ
2159.38	2161.38	エイコトラクラブ
2189.38	2191.38	エイコトラクラブ
2219.38	2221.38	エイコトラクラブ
2249.38	2251.38	エイコトラクラブ
2279.38	2281.38	エイコトラクラブ
2309.38	2311.38	エイコトラクラブ
2311.38	2321.38	エイコトラクラブ
2339.38	2342.58	感じですねはいというのを前回見ていただきました
2342.58	2347.46	はいで日本税はねピンヤがボイイタイ ブランチュガナナイイタイ
2347.46	2350.08	9位対話の日10歳以下チクリーンというのが
2350.08	2351.94	コンボフレーカーでしたね
2351.94	2355.38	では我々が今回見ていくのはこちら
2355.38	2359.82	オーストラリアのバトルアリーナメルボルン 2025です
2359.82	2363.62	はいこれですねこれもね206年とかから
2363.62	2368.30	やってるのでもだいぶ20年近く大会の歴史がありますよね
2368.30	2370.50	これが会場目をする
2370.50	2375.54	オーストラリアオーストラリアの撤件コミュニティすごい昔から実はあって
2375.54	2380.42	だからやっぱ世界と当たり合える強語が出てきたのはここ近年って感じがしますね
2380.42	2384.06	やがみとかが代表しそういうのですから
2384.06	2387.10	やっぱオーストラリア最強プレイがあいふん選手ですね
2387.10	2389.90	あとは古くて言うと
2389.90	2392.10	リアングレイとか
