start_time	end_time	transcript
360.00	367.00	ん
367.00	372.00	ん
372.00	375.00	ん
375.00	379.00	ん
379.00	383.00	ん
383.00	387.00	ん
387.00	389.00	ん
389.00	391.00	ん
391.00	394.00	ん
394.00	398.00	ん
398.00	401.00	ん
401.00	404.00	ん
404.00	408.00	ん
408.00	412.00	ん
412.00	416.00	ん
419.00	421.00	ん
421.00	423.00	ん
423.00	426.00	ん
426.00	429.00	ん
429.00	431.00	ん
431.00	434.00	ん
434.00	437.00	ん
437.00	439.00	ん
439.00	442.00	ん
442.00	445.00	ん
445.00	448.00	ん
448.00	450.00	ん
450.00	452.00	ん
452.00	455.00	ん
455.00	458.00	ん
458.00	461.00	ん
461.00	464.00	ん
464.00	467.00	ん
467.00	470.00	ん
470.00	473.00	ん
473.00	475.00	ん
475.00	477.00	ん
477.00	479.00	ん
479.00	481.00	ん
481.00	484.00	ん
484.00	486.00	ん
486.00	489.00	ん
489.00	492.00	ん
492.00	495.00	ん
495.00	498.00	ん
499.02	501.02	ん
501.02	504.02	ん
504.02	506.98	ん
1316.98	1318.98	ん
1321.98	1323.98	ん
1323.98	1325.98	ん
1325.98	1328.98	ん
1328.98	1330.98	ん
1330.98	1333.98	ん
1333.98	1335.98	ん
1335.98	1338.98	ん
1338.98	1340.98	ん
1340.98	1343.98	ん
1343.98	1345.98	ん
1345.98	1347.98	ん
1347.98	1349.98	ん
1349.98	1353.98	ん
1353.98	1355.98	ん
1355.98	1357.98	ん
1357.98	1361.98	ん
1361.98	1363.98	ん
1363.98	1365.98	ん
1365.98	1369.98	ん
1369.98	1372.98	ん
1402.98	1404.98	me
1404.98	1406.98	me
1406.98	1408.98	me
1408.98	1410.98	me
1410.98	1412.98	me
1412.98	1414.98	me
1414.98	1416.98	me
1416.98	1418.98	me
1418.98	1420.98	me
1420.98	1422.98	me
1422.98	1424.98	me
1424.98	1426.98	me
1426.98	1428.98	me
1428.98	1430.98	me
1430.98	1432.98	me
1432.98	1434.98	me
1434.98	1436.98	me
1436.98	1438.98	me
1438.98	1440.98	me
1440.98	1442.98	me
1442.98	1444.98	me
1444.98	1446.98	me
1446.98	1448.98	me
1460.98	1462.98	me
1490.98	1492.98	me
1492.98	1494.98	me
1494.98	1496.98	me
1496.98	1498.98	me
1498.98	1500.98	me
1500.98	1502.98	me
1502.98	1504.98	me
1504.98	1506.98	me
1506.98	1508.98	me
1508.98	1510.98	me
1510.98	1512.98	me
1512.98	1514.98	me
1514.98	1516.98	me
1516.98	1518.98	me
1518.98	1520.98	me
1520.98	1522.98	me
1522.98	1524.98	me
1524.98	1526.98	me
1526.98	1528.98	me
1528.98	1530.98	me
1530.98	1532.98	me
1532.98	1534.98	me
1534.98	1536.98	me
1536.98	1538.98	me
1538.98	1540.98	me
1540.98	1542.98	me
1542.98	1544.98	me
1544.98	1546.98	me
1546.98	1548.98	me
1548.98	1550.98	me
1550.98	1552.98	me
1552.98	1554.98	me
1554.98	1556.98	me
1556.98	1558.98	me
1558.98	1560.98	me
1560.98	1562.98	me
1562.98	1564.98	me
1564.98	1566.98	me
1566.98	1568.98	me
1568.98	1570.98	me
1570.98	1572.98	me
1572.98	1574.98	me
1574.98	1576.98	me
1576.98	1578.98	me
1578.98	1580.98	me
1580.98	1582.98	me
1582.98	1584.98	me
1584.98	1586.98	me
1586.98	1588.98	me
1588.98	1590.98	me
1590.98	1592.98	me
1604.98	1606.98	me
1606.98	1608.98	me
1634.98	1636.98	me
1636.98	1638.98	me
1638.98	1640.98	me
1640.98	1642.98	me
1642.98	1644.98	me
1644.98	1646.98	me
1646.98	1648.98	me
1648.98	1650.98	me
1650.98	1652.98	me
1652.98	1654.98	me
1654.98	1656.98	me
1656.98	1658.98	me
1658.98	1660.98	me
1660.98	1662.98	me
1662.98	1664.98	me
1664.98	1666.98	me
1666.98	1668.98	me
1668.98	1670.98	me
1670.98	1672.98	me
1672.98	1674.98	me
1674.98	1676.98	me
1676.98	1678.98	me
1678.98	1680.98	me
1680.98	1682.98	me
1682.98	1684.98	me
1684.98	1686.98	me
1686.98	1688.98	me
1688.98	1690.98	me
1690.98	1692.98	me
1692.98	1694.98	me
1694.98	1696.98	me
1696.98	1698.98	me
1698.98	1700.98	me
1700.98	1702.98	me
1702.98	1704.98	me
1704.98	1706.98	me
1706.98	1708.98	me
1708.98	1712.98	me
1712.98	1714.98	me
1714.98	1716.98	me
1716.98	1718.98	me
1718.98	1725.98	I want to go to you
1725.98	1732.98	I want to go to you
1732.98	1741.98	I want to go to you
1748.98	1755.98	I want to go to you
1755.98	1763.98	I want to go to you
1763.98	1770.98	I want to go to you
1770.98	1777.98	I want to go to you
1800.98	1807.98	I want to go to you
1807.98	1814.98	I want to go to you
1830.98	1845.98	I want to go to you
1845.98	1852.98	I want to go to you
1852.98	1855.98	You can do it
1855.98	1859.98	 You can do it
1860.98	1864.98	1
1864.98	1868.98	2
1868.98	1872.98	2
1872.98	1876.98	2
1876.98	1880.98	2
1880.98	1884.98	2
1884.98	1888.98	2
1888.98	1892.98	2
1918.98	1922.98	2
1948.98	1952.98	2
1978.98	1982.98	2
